id,name,portalLink,programmeWebsiteLink,country,city,university,tuitionFees,tuitionFeesPeriod,degreeLenght,deliveryMode,disciplineId,disciplineName
78772,"Agricultural Science, Bachelor",https://www.bachelorsportal.com/studies/78772/agricultural-science.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.utas.net.au%2Fbachelor-agricultural-science-sp%2F%3Futm_source%3DStudyPortals%26utm_medium%3DReferral%26utm_term%3D2017%26utm_content%3DBachelor%2Bof%2BAgricultural%2BScience,Australia,Hobart,University of Tasmania,"21,403",/ year,4 Years,On campus,54,Agriculture & Forestry
67133,"Undergraduate Pathway in Forestry, Pre-Bachelor",https://www.bachelorsportal.com/studies/67133/undergraduate-pathway-in-forestry.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.intostudy.com%2Fen-gb%2Funiversities%2Foregon-state-university%2Fprograms%2Fundergraduate-pathway-in-forestry%3Futm_source%3Dstudyportals%26utm_medium%3Dreferral%26utm_campaign%3Dstudyportalsresultbased,United States,Corvallis,INTO Oregon State University,"25,687",/ year,9 months,On campus,54,Agriculture & Forestry
153787,"Sustainable Agriculture and Food Systems, Pre-Bachelor",https://www.bachelorsportal.com/studies/153787/sustainable-agriculture-and-food-systems.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Finfo.oncampus.global%2Fstudy-oncampus-rhode-island,United States,Kingston,ONCAMPUS Rhode Island,"25,755",/ year,1 year,On campus,54,Agriculture & Forestry
153774,"Aquaculture and Fishery Technology, Pre-Bachelor",https://www.bachelorsportal.com/studies/153774/aquaculture-and-fishery-technology.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Finfo.oncampus.global%2Fstudy-oncampus-rhode-island,United States,Kingston,ONCAMPUS Rhode Island,"25,755",/ year,1 year,On campus,54,Agriculture & Forestry
153826,"Plant Sciences, Pre-Bachelor",https://www.bachelorsportal.com/studies/153826/plant-sciences.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Finfo.oncampus.global%2Fstudy-oncampus-rhode-island,United States,Kingston,ONCAMPUS Rhode Island,"25,755",/ year,1 year,On campus,54,Agriculture & Forestry
153772,"Animal Science and Technology, Pre-Bachelor",https://www.bachelorsportal.com/studies/153772/animal-science-and-technology.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Finfo.oncampus.global%2Fstudy-oncampus-rhode-island,United States,Kingston,ONCAMPUS Rhode Island,"25,755",/ year,1 year,On campus,54,Agriculture & Forestry
65551,"Graduate Pathway in Agricultural Extension Education MAg, Preparation Course",https://www.bachelorsportal.com/studies/65551/graduate-pathway-in-agricultural-extension-education-mag.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.intostudy.com%2Fen-gb%2Funiversities%2Fcolorado-state-university%2Fprograms%2Fgraduate-pathway-in-agricultural-extension-education-mag%3Futm_source%3Dstudyportals%26utm_medium%3Dreferral%26utm_campaign%3Dstudyportalsresultbased,United States,Fort Collins,INTO Colorado State University,"24,742",/ year,9 months,On campus,54,Agriculture & Forestry
78926,"Agricultural Science with Honours, B.Sc.",https://www.bachelorsportal.com/studies/78926/agricultural-science-with-honours.html,https://www.bachelorsportal.com/search/#q=di-300|lv-preparation,Australia,Hobart,University of Tasmania,"21,403",/ year,4 Years,On campus,54,Agriculture & Forestry
188050,"Agriculture Science, Bachelor",https://www.bachelorsportal.com/studies/188050/agriculture-science.html,https://www.bachelorsportal.com/search/#q=di-300|lv-preparation,United States,Kingsville,Texas A&M University - Kingsville,"11,773",/ year,4 Years,On campus,54,Agriculture & Forestry
130113,"Wildlife, Fisheries and Aquaculture - Human Wildlife Conflicts Concentration, Bachelor",https://www.bachelorsportal.com/studies/130113/wildlife-fisheries-and-aquaculture-human-wildlife-conflicts-concentration.html,https://www.bachelorsportal.com/search/#q=di-302|lv-preparation,United States,Starkville,Mississippi State University,"10,855",/ year,,On campus,54,Agriculture & Forestry
110358,"Animal Sciences: Sciences/Pre-Professional, Bachelor",https://www.bachelorsportal.com/studies/110358/animal-sciences-sciencespre-professional.html,https://www.bachelorsportal.com/search/#q=di-301|lv-preparation,United States,College Park,University of Maryland,"26,746",/ year,4 Years,On campus,54,Agriculture & Forestry
133276,"Agriculture, B.Sc.",https://www.bachelorsportal.com/studies/133276/agriculture.html,https://www.bachelorsportal.com/search/#q=di-300|lv-preparation,United States,Canyon,West Texas A&M University,"36,887",/ year,4 Years,On campus,54,Agriculture & Forestry
100356,"Plant Science, B.Sc.",https://www.bachelorsportal.com/studies/100356/plant-science.html,https://www.bachelorsportal.com/search/#q=di-305|lv-preparation,United States,West Lafayette,Purdue University,"13,227",/ year,4 Years,On campus,54,Agriculture & Forestry
106799,"Agriculture & Natural Resources, Bachelor",https://www.bachelorsportal.com/studies/106799/agriculture-natural-resources.html,https://www.bachelorsportal.com/search/#q=di-300|lv-preparation,United States,Newark,University of Delaware,"25,875",/ year,4 Years,On campus,54,Agriculture & Forestry
97090,"Agricultural Education and Communication, B.Sc.",https://www.bachelorsportal.com/studies/97090/agricultural-education-and-communication.html,"https://www.bachelorsportal.com/search/#q=di-290,300|lv-preparation",United States,Gainesville,University of Florida,607,/ credit,4 Years,On campus,54,Agriculture & Forestry
176746,"Agricultural Education, B.Sc.",https://www.bachelorsportal.com/studies/176746/agricultural-education.html,https://www.bachelorsportal.com/search/#q=di-300|lv-preparation,United States,Oswego,State University of New York at Oswego,"7,007",/ year,4 Years,On campus,54,Agriculture & Forestry
115638,"Plant and Soil Systems, B.Sc.",https://www.bachelorsportal.com/studies/115638/plant-and-soil-systems.html,"https://www.bachelorsportal.com/search/#q=di-122,305|lv-preparation",United States,Baton Rouge,Louisiana State University,"24,046",/ year,4 Years,On campus,54,Agriculture & Forestry
186398,"Terrestrial Meassurements and Cadaster, Bachelor",https://www.bachelorsportal.com/studies/186398/terrestrial-meassurements-and-cadaster.html,https://www.bachelorsportal.com/search/#q=di-300|lv-preparation,Romania,Cluj-Napoca,University of Agricultural Sciences and Veterinary Medi…,4,/ year,4 Years,On campus,54,Agriculture & Forestry
44791,"Zoology, Bachelor",https://www.bachelorsportal.com/studies/44791/zoology.html,"https://www.bachelorsportal.com/search/#q=di-301|lv-preparation|mh-blended,online",,,University of New England,"15,68",/ year,3 Years,Online,54,Agriculture & Forestry
