id,name,portalLink,programmeWebsiteLink,country,city,university,tuitionFees,tuitionFeesPeriod,degreeLenght,deliveryMode,disciplineId,disciplineName
41214,"Fashion and Textile Design, B.A.",https://www.bachelorsportal.com/studies/41214/fashion-and-textile-design.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fen.kemerburgaz.edu.tr%2Fen%2Facademic-units%2Fschools%2Fschool-of-fine-arts-and-design%2Fbachelor-of-arts-in-fashion-and-textile-design%2Fundergraduate-program%2Feducational-objectives,Turkey,Istanbul,Istanbul Kemerburgaz University,"7,299",/ year,4 Years,On campus,12,Applied Sciences & Professions
26748,"Forensic Anthropology, B.Sc.",https://www.bachelorsportal.com/studies/26748/forensic-anthropology.html,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fad.doubleclick.net%2Fddm%2Fclk%2F400154360%3B200160997%3Bs,United Kingdom,Dundee,University of Dundee,"2,038",/ year,4 Years,On campus,12,Applied Sciences & Professions
153068,"Sustainable Agriculture for Food Quality and Environment, B.Sc.",https://www.bachelorsportal.com/studies/153068/sustainable-agriculture-for-food-quality-and-environment.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.studyitaly.it%2Fundergraduate-programs%2Fsustainable-agriculture-for-food-quality-and-environment,Italy,Piacenza,"Università Cattolica del Sacro Cuore (UCSC), Italy","3,7",/ year,3 Years,On campus,12,Applied Sciences & Professions
34278,"International Food and Agribusiness, B.B.A.",https://www.bachelorsportal.com/studies/34278/international-food-and-agribusiness.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.hasinternational.nl%2Finternationalfood,Netherlands,s-Hertogenbosch,HAS University of Applied Sciences,"2,006",/ year,4 Years,On campus,12,Applied Sciences & Professions
153867,"Human Development and Family Studies, Pre-Bachelor",https://www.bachelorsportal.com/studies/153867/human-development-and-family-studies.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Finfo.oncampus.global%2Fstudy-oncampus-rhode-island,United States,Kingston,ONCAMPUS Rhode Island,"25,755",/ year,1 year,On campus,12,Applied Sciences & Professions
41217,"Jewelry Design, B.A.",https://www.bachelorsportal.com/studies/41217/jewelry-design.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fen.kemerburgaz.edu.tr%2Fen%2Facademic-units%2Fschools%2Fschool-of-fine-arts-and-design%2Fbachelor-of-arts-in-jewelry-design%2Fundergraduate-program%2Feducational-objectives,Turkey,Istanbul,Istanbul Kemerburgaz University,"7,299",/ year,4 Years,On campus,12,Applied Sciences & Professions
149989,"International Foundation Year in Social and Behavioural Sciences, Pre-Bachelor",https://www.bachelorsportal.com/studies/149989/international-foundation-year-in-social-and-behavioural-sciences.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.huddersfieldisc.com%2Finternational-foundation-year%2Fsocial-sciences%3Fch%3Dsp%26cc%3D2017_SP_GN%2B%2B%26cid%3DStudyPortals%26lc%3D1%26tc%3D0%26cl%3DUKUNHD%26utm_source%3DStudyPortals%26utm_medium%3DPortal%26utm_content%3DText%26utm_campaign%3D2017_SP_GN%2B%26utm_keyword%3D,United Kingdom,Huddersfield,University of Huddersfield International Study Centre,"11,828",/ year,7 months,On campus,12,Applied Sciences & Professions
50835,"Diploma of Interior Design and Decoration, Pre-Bachelor",https://www.bachelorsportal.com/studies/50835/diploma-of-interior-design-and-decoration.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fglobal.opencolleges.edu.au%2Flp%2Fdiploma-interior-design-decoration-int,,,Open Colleges,,,2 Years,Online,12,Applied Sciences & Professions
153071,"Merchandising, Pre-Bachelor",https://www.bachelorsportal.com/studies/153071/merchandising.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Finfo.oncampus.global%2Fstudy-oncampus-texas,United States,Denton,ONCAMPUS Texas,"21,461",/ year,1 year,On campus,12,Applied Sciences & Professions
92476,"Fashion Design, Advanced Diploma",https://www.bachelorsportal.com/studies/92476/fashion-design.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.torontofilmschool.ca%2Fall%2Fla%2Fsp%2FFD,Canada,Toronto,Toronto Film School,"17,319",/ year,"1 year, 6 months",On campus,12,Applied Sciences & Professions
156074,"Social Work, B.A.",https://www.bachelorsportal.com/studies/156074/social-work.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.uws.ac.uk%2Fbasocialwork%2F,United Kingdom  United Kingdom,Paisley,University of the West of Scotland,"2,038",/ year,3 Years,On campus,12,Applied Sciences & Professions
21639,"International Real Estate and Facility Management, Bachelor",https://www.bachelorsportal.com/studies/21639/international-real-estate-and-facility-management.html,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.nhtv.nl%2Fbachelors%2Finternational-real-estate-and-facility-management%2Fintroduction.html,Netherlands,Breda,NHTV Breda University of Applied Sciences,"2,006",/ year,4 Years,On campus,12,Applied Sciences & Professions
