id,name,portalLink,programmeWebsiteLink,country,city,university,tuitionFees,tuitionFeesPeriod,degreeLenght,deliveryMode,disciplineId,disciplineName
80391,"Computer Science (Computer Systems and Networks), B.Sc.",https://www.bachelorsportal.com/studies/80391/computer-science.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.students.pw.edu.pl%2Findex.php%3Fid%3D119,Poland,Warsaw,Warsaw University of Technology,4,/ year,4 Years,On campus,24,Computer Science & IT
55378,"Graphic Design and Media Arts, B.A.",https://www.bachelorsportal.com/studies/55378/graphic-design-and-media-arts.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.snhu.edu%2Fcampus-majors%2Fundergraduate%2Fba-graphic-design-and-media-arts%3Futm_source%3DStudyPortal%26utm_medium%3Ddisplay%26utm_content%3DA01647%26utm_campaign%3DStudyPortal%26snhu_segment%3DUGD,United States,Manchester,Southern New Hampshire University,"26,413",/ year,4 Years,On campus,24,Computer Science & IT
67753,"Game Programming and Development, B.Sc.",https://www.bachelorsportal.com/studies/67753/game-programming-and-development.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.snhu.edu%2Fcampus-majors%2Fundergraduate%2Fbs-game-programming-and-development%3Futm_source%3DStudyPortal%26utm_medium%3Ddisplay%26utm_content%3DA01647%26utm_campaign%3DStudyPortal%26snhu_segment%3DUGD,United States,Manchester,Southern New Hampshire University,"26,413",/ year,4 Years,On campus,24,Computer Science & IT
168238,"Computer Science, B.Sc.",https://www.bachelorsportal.com/studies/168238/computer-science.html,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fgustrk.cvtr.io%2Fclick%3Flid%3D10097%26pid%3D11012%26sid%3D,United States,Saint Louis,Webster University,"23,102",/ year,4 Years,On campus,24,Computer Science & IT
31384,"Multimedia Design and Communication, Academy Profession",https://www.bachelorsportal.com/studies/31384/multimedia-design-and-communication.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.baaainternational.com%2Fmultimedia_design_and_communication%2F,Denmark,Århus,Business Academy Aarhus,0,/ year,2 Years,On campus,24,Computer Science & IT
55349,"Business Studies - Computer Information Technology, B.Sc.",https://www.bachelorsportal.com/studies/55349/business-studies-computer-information-technology.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.snhu.edu%2Fcampus-majors%2Fundergraduate%2Fbs-business-studies%2Finformation-technology%3Futm_source%3DStudyPortal%26utm_medium%3Ddisplay%26utm_content%3DA01647%26utm_campaign%3DStudyPortal%26snhu_segment%3DUGD,United States,Manchester,Southern New Hampshire University,"26,413",/ year,4 Years,On campus,24,Computer Science & IT
51081,"Certificate II in Information, Digital Media and Technology, Pre-Bachelor",https://www.bachelorsportal.com/studies/51081/certificate-ii-in-information-digital-media-and-technology.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fglobal.opencolleges.edu.au%2Flp%2Fcertificate-ii-information-digital-media-and-technology-int,,,Open Colleges,,,1 year,Online,24,Computer Science & IT
35905,"Computer Science, B.Sc.",https://www.bachelorsportal.com/studies/35905/computer-science.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.unic.ac.cy%2Fbachelor-degrees%2Fcomputer-science-bsc-4-years%3Futm_source%3DStudyPortals.eu%26utm_medium%3DProgram-Link%26utm_campaign%3DProgramme-Listing,Cyprus,Nicosia,University of Nicosia,"8,28",/ year,4 Years,On campus,24,Computer Science & IT
18504,"Computer Engineering, B.Sc.",https://www.bachelorsportal.com/studies/18504/computer-engineering.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.bilkent-international.com%2Fbsc-computer-engineering-,Turkey,Ankara,Bilkent University,"12,452",/ year,4 Years,On campus,24,Computer Science & IT
29261,"Computer Engineering, B.Sc.",https://www.bachelorsportal.com/studies/29261/computer-engineering.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.euc.ac.cy%2Feasyconsole.cfm%3Fid%3D176%26dep%3D167%26program_id%3D148%26lang%3Den%26utm_medium%3Dpremium%26utm_source%3Dstudyportals%26utm_content%3Dcomputer-engineering,Cyprus,Nicosia,European University Cyprus (EUC),297,/ module,4 Years,On campus,24,Computer Science & IT
