id,name,portalLink,programmeWebsiteLink,country,city,university,tuitionFees,tuitionFeesPeriod,degreeLenght,deliveryMode,disciplineId,disciplineName
38248,"Alternative Pedagogy, Bachelor",https://www.bachelorsportal.com/studies/38248/alternative-pedagogy.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.dns-tvind.dk%2Fthe-3-year-bachelor-programme-overview%2Fdns-education-discription%2F3-years-alternative-education-program-overview,Denmark,Ulfborg,DNS International Teacher Training College,8,/ year,3 Years,On campus,289,Education & Training
135896,"Science Education - Middle School Science Education, Bachelor",https://www.bachelorsportal.com/studies/135896/science-education-middle-school-science-education.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fugs.usf.edu%2Fcatalog%2F%3Fcatyr%3D1718%26category%3Dmajors%26display%3Ddetail%26maj%3DSCE%26deg%3DBA%252FBS%26conc%3DBDS,United States,Tampa,University of South Florida,"14,878",/ year,4 Years,On campus,289,Education & Training
153820,"Early Childhood Education, Pre-Bachelor",https://www.bachelorsportal.com/studies/153820/early-childhood-education.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Finfo.oncampus.global%2Fstudy-oncampus-rhode-island,United States,Kingston,ONCAMPUS Rhode Island,"25,755",/ year,1 year,On campus,289,Education & Training
66454,"Undergraduate Pathway in Education, Pre-Bachelor",https://www.bachelorsportal.com/studies/66454/undergraduate-pathway-in-education.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.intostudy.com%2Fen-gb%2Funiversities%2Funiversity-of-south-florida%2Fprograms%2Fundergraduate-pathway-in-education%3Futm_source%3Dstudyportals%26utm_medium%3Dreferral%26utm_campaign%3Dstudyportalsresultbased,United States,Tampa,INTO University of South Florida,"20,611",/ year,8 months,On campus,289,Education & Training
114380,"Elementary Education, B.Sc.",https://www.bachelorsportal.com/studies/114380/elementary-education.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fugs.usf.edu%2Fcatalog%2F%3Fcatyr%3D1718%26category%3Dmajors%26display%3Ddetail%26maj%3DBEE%26deg%3DBS,United States,Tampa,University of South Florida,"14,878",/ year,4 Years,On campus,289,Education & Training
26640,"International Honours Degree in Teaching, Bachelor",https://www.bachelorsportal.com/studies/26640/international-honours-degree-in-teaching.html,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fphabsalon.dk%2Fenglish%2Ffull-degree-programs%2Finternational-honours-degree-in-teaching%2F,Denmark,Vordingborg,University College Zealand,0,/ year,4 Years,On campus,289,Education & Training
67732,"Early Childhood Education, B.A.",https://www.bachelorsportal.com/studies/67732/early-childhood-education.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.snhu.edu%2Fcampus-majors%2Fundergraduate%2Fba-early-childhood-education%3Futm_source%3DStudyPortal%26utm_medium%3Ddisplay%26utm_content%3DA01647%26utm_campaign%3DStudyPortal%26snhu_segment%3DUGD,United States,Manchester,Southern New Hampshire University,"26,413",/ year,4 Years,On campus,289,Education & Training
164716,"Preschool Teaching, Bachelor",https://www.bachelorsportal.com/studies/164716/preschool-teaching.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.bahcesehir.edu.tr%2Ficerik%2F2629-departments-of-preschool-education,Turkey,Istanbul,Bahcesehir University,"6,784",/ year,4 Years,,289,Education & Training
165366,"Elementary Education - Primary Education, B.A.",https://www.bachelorsportal.com/studies/165366/elementary-education-primary-education.html,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fege.tedu.edu.tr%2Fen%2Fege,Turkey,Ankara,TED University,"7,729",/ year,4 Years,On campus,289,Education & Training
162747,"Educational Studies, B.A.",https://www.bachelorsportal.com/studies/162747/educational-studies.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.ubishops.ca%2Facademic-programs%2Fschool-of-education%2Fundergraduate-courses-programs%2F,Canada,Sherbrooke,Bishop’s University,374,/ credit,4 Years,On campus,289,Education & Training
153563,"Educational Partnerships, Preparation Course",https://www.bachelorsportal.com/studies/153563/educational-partnerships.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Ftsengcollege.csun.edu%2Fprograms%2FIPP%2Fintlpartnerships%3Futm_source%3Dstudyportals%26utm_campaign%3Dipp_fy1718,United States,Los Angeles,California State University Northridge,,,,On campus,289,Education & Training
