id,name,portalLink,programmeWebsiteLink,country,city,university,tuitionFees,tuitionFeesPeriod,degreeLenght,deliveryMode,disciplineId,disciplineName
70372,"Automotive Technology, Academy Profession",https://www.bachelorsportal.com/studies/70372/automotive-technology.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.baaainternational.com%2Fautomotive_technology%2F,Denmark,Århus,Business Academy Aarhus,0,/ year,2 Years,On campus,7,Engineering & Technology
31364,"Chemical and Biotechnical Science, Academy Profession",https://www.bachelorsportal.com/studies/31364/chemical-and-biotechnical-science.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.baaainternational.com%2Fchemical_and_biotechnical_science%2F,Denmark,Århus,Business Academy Aarhus,0,/ year,"2 Years, 6 months",On campus,7,Engineering & Technology
135926,"Industrial Technology Management, B.Sc.",https://www.bachelorsportal.com/studies/135926/industrial-technology-management.html,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fapply.ktu.edu%2Fenter%2F84,Lithuania,Kaunas,Kaunas University of Technology,0,/ year,4 Years,On campus,7,Engineering & Technology
34727,"Construction Engineering, B.Eng.",https://www.bachelorsportal.com/studies/34727/construction-engineering.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.hamk.fi%2Fenglish%2Fapplicants%2Fconstruction-engineering%2FSivut%2Fdefault.aspx,Finland,Hämeenlinna,Hamk University of Applied Sciences,0,/ year,4 Years,On campus,7,Engineering & Technology
70363,"Product Development and Integrative Technology, Bachelor",https://www.bachelorsportal.com/studies/70363/product-development-and-integrative-technology.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.baaainternational.com%2Fproduct_development_and_integrative_technology%2F,Denmark,Århus,Business Academy Aarhus,0,/ year,"1 year, 6 months",On campus,7,Engineering & Technology
135449,"Science and Engineering, Pre-Bachelor",https://www.bachelorsportal.com/studies/135449/science-and-engineering.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Finfo.oncampus.global%2Fstudy-oncampus-boston,United States,Boston,ONCAMPUS Boston,"25,755",/ year,1 year,On campus,7,Engineering & Technology
15871,"Environmental Chemistry and Technology, B.Eng.",https://www.bachelorsportal.com/studies/15871/environmental-chemistry-and-technology.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fweb.centria.fi%2Fapplicants%2Fstudy-possibilities%2Fenvironmental-chemistry-and-technology,Finland,Karleby,Centria University of Applied Sciences,0,/ year,4 Years,On campus,7,Engineering & Technology
48880,"Creative Technologies (Hons), B.Sc.",https://www.bachelorsportal.com/studies/48880/creative-technologies.html,"https://www.bachelorsportal.com/search/#q=di-68,251|lv-preparation",United Kingdom,Bangor,Bangor University,0,/ year,3 Years,On campus,7,Engineering & Technology
34730,"Mechanical Engineering and Production Technology, B.Eng.",https://www.bachelorsportal.com/studies/34730/mechanical-engineering-and-production-technology.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.hamk.fi%2Fenglish%2Fapplicants%2Fmechanical-engineering-and-production-technology%2FSivut%2Fdefault.aspx,Finland,Riihimäki,Hamk University of Applied Sciences,0,/ year,4 Years,On campus,7,Engineering & Technology
48819,"(Hons) Electronic Engineering, B.Sc.",https://www.bachelorsportal.com/studies/48819/electronic-engineering.html,https://www.bachelorsportal.com/search/#q=di-83|lv-preparation,United Kingdom,Bangor,Bangor University,0,/ year,3 Years,On campus,7,Engineering & Technology
153176,"Mechatronics, B.Sc.",https://www.bachelorsportal.com/studies/153176/mechatronics.html,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fapply.ktu.edu%2Fenter%2F68,Lithuania,Kaunas,Kaunas University of Technology,0,/ year,4 Years,On campus,7,Engineering & Technology
155519,"Electronic Engineering (Degree Apprenticeship) (Top Up), B.Eng.",https://www.bachelorsportal.com/studies/155519/electronic-engineering.html,"https://www.bachelorsportal.com/search/#q=di-26,34|lv-preparation",United Kingdom,Portsmouth,University of Portsmouth,0,/ year,1 year,On campus,7,Engineering & Technology
31368,"Chemical and Biotechnical, Food or Process Technology, Bachelor",https://www.bachelorsportal.com/studies/31368/chemical-and-biotechnical-food-or-process-technology.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.baaainternational.com%2Fchemical_and_biotechnical_food_or_proces_technology%2F,Denmark,Århus,Business Academy Aarhus,0,/ year,"1 year, 6 months",On campus,7,Engineering & Technology
155531,"Building Surveying (Degree Apprenticeship), B.Sc.",https://www.bachelorsportal.com/studies/155531/building-surveying.html,https://www.bachelorsportal.com/search/#q=di-29|lv-preparation,United Kingdom,Portsmouth,University of Portsmouth,0,/ year,5 Years,On campus,7,Engineering & Technology
46316,"Chemical Engineering and Biotechnology, B.Sc.",https://www.bachelorsportal.com/studies/46316/chemical-engineering-and-biotechnology.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.en.aau.dk%2Feducation%2Fbachelor%2Fchemicalengineering-biotechnology,Denmark,Esbjerg,Aalborg University,0,/ year,3 Years,On campus,7,Engineering & Technology
