id,name,portalLink,programmeWebsiteLink,country,city,university,tuitionFees,tuitionFeesPeriod,degreeLenght,deliveryMode,disciplineId,disciplineName
39243,"International Hospitality Management, B.B.A.",https://www.bachelorsportal.com/studies/39243/international-hospitality-management.html,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fstenden.com%2Fen%2Fstudies%2Finternational-hospitality-management%2F,Netherlands,Leeuwarden,Stenden University of Applied Sciences,"2,006",/ year,4 Years,On campus,64,"Hospitality, Leisure & Sports"
29433,"Hotel, Tourism and Event Management, B.A.",https://www.bachelorsportal.com/studies/29433/hotel-tourism-and-event-management.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.euc.ac.cy%2Feasyconsole.cfm%3Fid%3D173%26dep%3D162%26program_id%3D153%26lang%3Den%26utm_medium%3Dpremium%26utm_source%3Dstudyportals%26utm_content%3Dhotel-management,Cyprus,Nicosia,European University Cyprus (EUC),297,/ module,4 Years,On campus,64,"Hospitality, Leisure & Sports"
159614,"Level 6 diploma in Tourism and Hospitality, Graduate Diploma",https://www.bachelorsportal.com/studies/159614/level-6-diploma-in-tourism-and-hospitality.html,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.lspm.org.uk%2Flevel-6-diploma-in-tourism.html,,,London School of Planning and Management,"1,455",/ year,6 months,Online,64,"Hospitality, Leisure & Sports"
29102,"International Hospitality Management, B.Sc.",https://www.bachelorsportal.com/studies/29102/international-hospitality-management.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.ehl.edu%2Fen%2Fstudy%2Fbachelor-program,Switzerland,Lausanne,Ecole Hôtelière de Lausanne (EHL),"15,112",/ year,4 Years,On campus,64,"Hospitality, Leisure & Sports"
143100,"Sport and Exercise Sciences, B.Sc.",https://www.bachelorsportal.com/studies/143100/sport-and-exercise-sciences.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.fbs.leeds.ac.uk%2Fundergraduate%2Fcourse.php%3Fc%3DF003,United Kingdom,Leeds,University of Leeds,,,3 Years,On campus,64,"Hospitality, Leisure & Sports"
135907,"Physical Education - Exercise Science, Bachelor",https://www.bachelorsportal.com/studies/135907/physical-education-exercise-science.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fugs.usf.edu%2Fcatalog%2F%3Fcatyr%3D1617%26category%3Dmajors%26display%3Ddetail%26maj%3DPET%26deg%3DBA%252FBS%26conc%3DBPW,United States,Tampa,University of South Florida,"14,878",/ year,2 Years,On campus,64,"Hospitality, Leisure & Sports"
150638,"International Year One in Hospitality, Events and Tourism, Pre-Bachelor",https://www.bachelorsportal.com/studies/150638/international-year-one-in-hospitality-events-and-tourism.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.intostudy.com%2Fen-gb%2Funiversities%2Funiversity-of-gloucestershire%2Fcourses%2Finternational-year-one-in-hospitality-events-and-tourism%3Futm_source%3Dstudyportals%26utm_medium%3Dreferral%26utm_campaign%3Dstudyportalsresultbased,United Kingdom,Cheltenham,INTO University of Gloucestershire,"13,996",/ year,9 months,On campus,64,"Hospitality, Leisure & Sports"
21643,"International Hotel Management, Bachelor",https://www.bachelorsportal.com/studies/21643/international-hotel-management.html,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.nhtv.nl%2FENG%2Fbachelors%2Finternational-hotel-management%2Fintroduction.html,Netherlands,Breda,NHTV Breda University of Applied Sciences,"2,006",/ year,4 Years,On campus,64,"Hospitality, Leisure & Sports"
174783,"Tourism, Bachelor",https://www.bachelorsportal.com/studies/174783/tourism.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.cett.es%2Fhtml%2Fang%2Fgradoenturisinforgener_plandeestud.html,Spain,Barcelona,CETT School of Hotel Management and Tourism - Universit…,,,,On campus,64,"Hospitality, Leisure & Sports"
69040,"Honours  Sport and Exercise Science, B.Sc.",https://www.bachelorsportal.com/studies/69040/honours-sport-and-exercise-science.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.mdx.ac.uk%2Fcourses%2Fundergraduate%2Fsport-and-exercise-science-degree,United Kingdom,London,Middlesex University,"10,361",/ year,3 Years,On campus,64,"Hospitality, Leisure & Sports"
17268,"Leisure and Tourism Management, B.A.",https://www.bachelorsportal.com/studies/17268/leisure-and-tourism-management.html,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.euruni.edu%2Fen%2FPrograms%2FBachelor-s%2FBA-Leisure-Tourism%2FOverview%2FBA-Bachelor-of-Arts-in-Leisure-Tourism-Management.html,Spain  Switzerland  Switzerland,Barcelona,EU Business School,"10,3",/ year,3 Years,On campus,64,"Hospitality, Leisure & Sports"
160706,"Sports Studies, B.A.",https://www.bachelorsportal.com/studies/160706/sports-studies.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.ubishops.ca%2Facademic-programs%2Ffaculty-of-arts-and-science%2Fsocial-sciences%2Fsports-studies-program%2F,Canada,Sherbrooke,Bishop’s University,374,/ credit,4 Years,On campus,64,"Hospitality, Leisure & Sports"
39466,"Gastronomy and Culinary Arts, B.A.",https://www.bachelorsportal.com/studies/39466/gastronomy-and-culinary-arts.html,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.ozyegin.edu.tr%2Fen%2Fundergraduate-gastronomy-and-culinary-arts-program%2Foverview,Turkey,Istanbul,Ozyegin University,"10,305",/ year,4 Years,On campus,64,"Hospitality, Leisure & Sports"
