id,name,portalLink,programmeWebsiteLink,country,city,university,tuitionFees,tuitionFeesPeriod,degreeLenght,deliveryMode,disciplineId,disciplineName
55398,"History, B.A.",https://www.bachelorsportal.com/studies/55398/history.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.snhu.edu%2Fcampus-majors%2Fundergraduate%2Fba-history%3Futm_source%3DStudyPortal%26utm_medium%3Ddisplay%26utm_content%3DA01647%26utm_campaign%3DStudyPortal%26snhu_segment%3DUGD,United States,Manchester,Southern New Hampshire University,"26,413",/ year,4 Years,On campus,9,Humanities
176886,"History, B.A.",https://www.bachelorsportal.com/studies/176886/history.html,"https://www.bachelorsportal.com/search/#q=di-74,266|lv-preparation",United States,Evansville,University of Evansville,,,,,9,Humanities
162272,"History, B.A.",https://www.bachelorsportal.com/studies/162272/history.html,"https://www.bachelorsportal.com/search/#q=di-74,266|lv-preparation",United States,Newport,Ramapo College of New Jersey,"19,641",/ year,1 year,On campus,9,Humanities
183891,"History: Museum Studies, B.A.",https://www.bachelorsportal.com/studies/183891/history-museum-studies.html,"https://www.bachelorsportal.com/search/#q=di-74,266|lv-preparation",United States,Seattle,Seattle Pacific University,"34,75",/ year,,,9,Humanities
153866,"History, Pre-Bachelor",https://www.bachelorsportal.com/studies/153866/history.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Finfo.oncampus.global%2Fstudy-oncampus-rhode-island,United States,Kingston,ONCAMPUS Rhode Island,"25,755",/ year,1 year,On campus,9,Humanities
114674,"Antiquity and Archaeology, B.A.",https://www.bachelorsportal.com/studies/114674/antiquity-and-archaeology.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Finternational.uni.wroc.pl%2Fen%2Fbachelor%2Fantiquity-and-archaeology,Poland,Wroclaw,University of Wroclaw,"1,5",/ year,3 Years,On campus,9,Humanities
92100,"Greek and Latin, B.A.",https://www.bachelorsportal.com/studies/92100/greek-and-latin.html,"https://www.bachelorsportal.com/search/#q=di-67,91,266|lv-preparation",United States,Los Angeles,"University of California, Los Angeles (UCLA)","24,058",/ year,3 Years,On campus,9,Humanities
159559,"Ancient, Medieval and Modern History, B.A.",https://www.bachelorsportal.com/studies/159559/ancient-medieval-and-modern-history.html,"https://www.bachelorsportal.com/search/#q=di-266,273|lv-preparation",United Kingdom,Durham,Durham University,"10,361",/ year,3 Years,On campus,9,Humanities
146668,"Global Studies, B.A.",https://www.bachelorsportal.com/studies/146668/global-studies.html,"https://www.bachelorsportal.com/search/#q=di-74,266,273|lv-preparation",United States,San Marcos,California State University San Marcos,"14,003",/ year,4 Years,On campus,9,Humanities
130367,"History, B.A.",https://www.bachelorsportal.com/studies/130367/history.html,"https://www.bachelorsportal.com/search/#q=di-74,266,273|lv-preparation",United States,Harrisonburg,James Madison University,"22,469",/ year,4 Years,On campus,9,Humanities
