id,name,portalLink,programmeWebsiteLink,country,city,university,tuitionFees,tuitionFeesPeriod,degreeLenght,deliveryMode,disciplineId,disciplineName
55401,"Justice Studies, B.Sc.",https://www.bachelorsportal.com/studies/55401/justice-studies.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.snhu.edu%2Fcampus-majors%2Fundergraduate%2Fbs-justice-studies%3Futm_source%3DStudyPortal%26utm_medium%3Ddisplay%26utm_content%3DA01647%26utm_campaign%3DStudyPortal%26snhu_segment%3DUGD,United States,Manchester,Southern New Hampshire University,"26,413",/ year,4 Years,On campus,6,Law
59004,"Humanities, Law and Social Sciences, Pre-Bachelor",https://www.bachelorsportal.com/studies/59004/humanities-law-and-social-sciences.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Finfo.oncampus.global%2Fstudy-oncampus-uclan,United Kingdom,Preston,ONCAMPUS UCLan,"14,281",/ year,9 months,On campus,6,Law
176248,"Law with International Diplomacy (Hons), L.L.B.",https://www.bachelorsportal.com/studies/176248/law-with-international-diplomacy.html,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fgustrk.cvtr.io%2Fclick%3Flid%3D10098%26pid%3D11012%26sid%3D,United Kingdom,London,The University of Law,"6,165",/ year,3 Years,On campus,6,Law
150534,"I-LLB (Hons) Law Degree Online, L.L.B.",https://www.bachelorsportal.com/studies/150534/i-llb-law-degree-online.html,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fgustrk.cvtr.io%2Fclick%3Flid%3D10098%26pid%3D11012%26sid%3D,,,The University of Law,"5,18",/ year,4 Years,Online,6,Law
20187,"Law, L.L.B.",https://www.bachelorsportal.com/studies/20187/law.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fapply.yasar.edu.tr%2Fcourses%2Fcourse%2F22-llb-law%3Fsearch%3D18512,Turkey,Izmir,Yasar University,"9,017",/ year,4 Years,On campus,6,Law
65746,"International Politics and Law, B.A.",https://www.bachelorsportal.com/studies/65746/international-politics-and-law.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.mdx.ac.uk%2Fcourses%2Fundergraduate%2Finternational-politics-and-law,United Kingdom,London,Middlesex University,"10,361",/ year,3 Years,On campus,6,Law
152912,"European Law and Governance Studies, B.A.",https://www.bachelorsportal.com/studies/152912/european-law-and-governance-studies.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.elgs.eu%2Facademia%2Fundergraduate-studies%2Fba-in-eu-law-and-governance-studies%2F,Greece,Athens,European Public Law Organization,"9,9",/ year,3 Years,On campus,6,Law
67713,"Law and Politics, B.A.",https://www.bachelorsportal.com/studies/67713/law-and-politics.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.snhu.edu%2Fcampus-majors%2Fundergraduate%2Fba-law-and-politics%3Futm_source%3DStudyPortal%26utm_medium%3Ddisplay%26utm_content%3DA01647%26utm_campaign%3DStudyPortal%26snhu_segment%3DUGD,United States,Manchester,Southern New Hampshire University,"26,413",/ year,4 Years,On campus,6,Law
154282,"Politics, Law and Economics, Bachelor",https://www.bachelorsportal.com/studies/154282/politics-law-and-economics.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Flandingieu.ie.edu%2Fple-at-ie-university%3Futm_campaign%3DStudyportals%26utm_medium%3DPortal%26utm_source%3DStudyportals,Spain  Spain,Segovia,IE University,"19,8",/ year,4 Years,On campus,6,Law
58991,"International Foundation Programme in Humanities and Social Sciences, Pre-Bachelor",https://www.bachelorsportal.com/studies/58991/international-foundation-programme-in-humanities-and-social-sciences.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Finfo.oncampus.global%2Fhumanities-foundation,United Kingdom,Coventry,ONCAMPUS Coventry,"15,676",/ year,1 year,On campus,6,Law
58994,"Humanities, Law and Social Sciences, Pre-Bachelor",https://www.bachelorsportal.com/studies/58994/humanities-law-and-social-sciences.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Finfo.oncampus.global%2Fsunderland-ufp-humanities-law-social-sciences-pre-bachelor,United Kingdom,Sunderland,ONCAMPUS Sunderland,"11,089",/ year,9 months,On campus,6,Law
36720,"International Foundation in Humanities and Law, Pre-Bachelor",https://www.bachelorsportal.com/studies/36720/international-foundation-in-humanities-and-law.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.intostudy.com%2Fen-gb%2Funiversities%2Funiversity-of-east-anglia%2Fcourses%2Finternational-foundation-in-humanities-and-law%3Futm_source%3Dstudyportals%26utm_medium%3Dreferral%26utm_campaign%3Dstudyportalsresultbased,United Kingdom,Norwich,INTO University of East Anglia,"19,596",/ year,9 months,On campus,6,Law
