id,name,portalLink,programmeWebsiteLink,country,city,university,tuitionFees,tuitionFeesPeriod,degreeLenght,deliveryMode,disciplineId,disciplineName
15439,"Nursing, Bachelor",https://www.bachelorsportal.com/studies/15439/nursing.html,https://www.bachelorsportal.com/search/#q=di-113|lv-preparation,Finland,Vantaa,Laurea University of Applied Sciences,0,/ year,"3 Years, 6 months",On campus,10,Medicine & Health
160266,"Access to HE Diploma (Midwifery) (Level 3), Preparation Course",https://www.bachelorsportal.com/studies/160266/access-to-he-diploma.html,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.lscollege.ac.uk%2Fcourses%2Fhealth-and-social-care%2F235-he%2F2033-access-to-he-diploma-midwifery-level-3,United Kingdom,London,Lewisham Southwark College,0,/ year,1 year,On campus,10,Medicine & Health
27771,"Global Nutrition and Health, B.Sc.",https://www.bachelorsportal.com/studies/27771/global-nutrition-and-health.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.phmetropol.dk%2Fgnh,Denmark,Copenhagen,Metropolitan University College,0,/ year,"3 Years, 6 months",On campus,10,Medicine & Health
23074,"Nursing, Bachelor",https://www.bachelorsportal.com/studies/23074/nursing.html,https://www.bachelorsportal.com/search/#q=di-113|lv-preparation,Finland,Helsinki,Arcada University of Applied Sciences,0,/ year,"3 Years, 6 months",On campus,10,Medicine & Health
48794,"Midwifery Degree, Bachelor",https://www.bachelorsportal.com/studies/48794/midwifery-degree.html,https://www.bachelorsportal.com/search/#q=di-231|lv-preparation,United Kingdom,Bangor,Bangor University,0,/ year,3 Years,On campus,10,Medicine & Health
154998,"Children and Family Studies, B.A.",https://www.bachelorsportal.com/studies/154998/children-and-family-studies.html,"https://www.bachelorsportal.com/search/#q=di-62,90|lv-preparation",United Kingdom,Bournemouth,Bournemouth University,0,/ year,2 Years,On campus,10,Medicine & Health
48617,"Psychology with Clinical and Health Psychology Degree, B.Sc.",https://www.bachelorsportal.com/studies/48617/psychology-with-clinical-and-health-psychology-degree.html,"https://www.bachelorsportal.com/search/#q=di-79,230|lv-preparation",United Kingdom,Bangor,Bangor University,0,/ year,3 Years,On campus,10,Medicine & Health
144497,"Mental Health Nursing (Hons), B.Sc.",https://www.bachelorsportal.com/studies/144497/mental-health-nursing.html,"https://www.bachelorsportal.com/search/#q=di-79,113|lv-preparation",United Kingdom,London,London South Bank University,0,/ year,3 Years,On campus,10,Medicine & Health
81678,"Nursing (Child), B.Sc.",https://www.bachelorsportal.com/studies/81678/nursing.html,https://www.bachelorsportal.com/search/#q=di-113|lv-preparation,United Kingdom,Nottingham,University of Nottingham,0,/ year,3 Years,On campus,10,Medicine & Health
16029,"Chemistry with Pharmaceutical Chemistry, B.Sc.",https://www.bachelorsportal.com/studies/16029/chemistry-with-pharmaceutical-chemistry.html,"https://www.bachelorsportal.com/search/#q=di-46,106|lv-preparation",Ireland,Maynooth,Maynooth University,0,/ year,4 Years,On campus,10,Medicine & Health
