id,name,portalLink,programmeWebsiteLink,country,city,university,tuitionFees,tuitionFeesPeriod,degreeLenght,deliveryMode,disciplineId,disciplineName
148246,"International Year One - African American Studies, Pre-Bachelor",https://www.bachelorsportal.com/studies/148246/international-year-one-african-american-studies.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fisc.roosevelt.edu%2Flanding%2Fstudy-in-the-usa%3Fch%3Dsp%26cc%3D2017_SP_GN%2B%2B%26cid%3DStudyPortals%26lc%3D1%26tc%3D0%26cl%3DUSROV%26utm_source%3DStudyPortals%26utm_medium%3DPortal%26utm_content%3DText%26utm_campaign%3D2017_SP_GN%2B%26utm_keyword%3D,United States,Chicago,Roosevelt University International Study Centre,"25,36",/ year,8 months,On campus,13,Social Sciences
136028,"Humanities and Cultural Studies - American Studies, B.A.",https://www.bachelorsportal.com/studies/136028/humanities-and-cultural-studies-american-studies.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fugs.usf.edu%2Fcatalog%2F%3Fcatyr%3D1718%26category%3Dmajors%26display%3Ddetail%26maj%3DHCS%26deg%3DBA%26conc%3DAMSC,United States,Tampa,University of South Florida,"14,878",/ year,4 Years,On campus,13,Social Sciences
183822,"American Studies, Bachelor",https://www.bachelorsportal.com/studies/183822/american-studies.html,https://www.bachelorsportal.com/search/#q=di-274|lv-preparation,United States,Bristol,Roger Williams University,"26,753",/ year,,On campus,13,Social Sciences
100977,"American Studies, B.A.",https://www.bachelorsportal.com/studies/100977/american-studies.html,https://www.bachelorsportal.com/search/#q=di-274|lv-preparation,United States,Buffalo,University at Buffalo,"20,362",/ year,4 Years,On campus,13,Social Sciences
114243,"American Studies, B.A.",https://www.bachelorsportal.com/studies/114243/american-studies.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fugs.usf.edu%2Fcatalog%2F%3Fcatyr%3D1718%26category%3Dminors%26display%3Ddetail%26min%3DAMS%26code%3Dde455afa245cf8371e466d449d3166e9,United States,Tampa,University of South Florida,"14,878",/ year,4 Years,On campus,13,Social Sciences
176513,"American Studies, B.A.",https://www.bachelorsportal.com/studies/176513/american-studies.html,https://www.bachelorsportal.com/search/#q=di-274|lv-preparation,United States,Easton,Lafayette College,"43,284",/ year,4 Years,On campus,13,Social Sciences
69972,"American Studies, B.A.",https://www.bachelorsportal.com/studies/69972/american-studies.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.richmond.ac.uk%2Fundergraduate-programmes%2Fschool-of-communications-arts-social-sciences%2Fba-degree-in-american-studies%2F%3Futm_source%3DSP_Undergraduate%26utm_campaign%3DStudyportals,United Kingdom,London,"Richmond, the American International University in Lond…","10,081",/ year,4 Years,On campus,13,Social Sciences
173101,"American Studies, Bachelor",https://www.bachelorsportal.com/studies/173101/american-studies.html,https://www.bachelorsportal.com/search/#q=di-274|lv-preparation,United States,Allentown,Muhlenberg College,"43,022",/ year,2 Years,On campus,13,Social Sciences
135997,"Interdisciplinary Social Sciences - American Studies, B.A.",https://www.bachelorsportal.com/studies/135997/interdisciplinary-social-sciences-american-studies.html,"https://www.bachelorsportal.com/search/#q=di-80,274|lv-preparation",United States,Tampa,University of South Florida,"14,878",/ year,4 Years,On campus,13,Social Sciences
177011,"American Studies, B.Sc.",https://www.bachelorsportal.com/studies/177011/american-studies.html,https://www.bachelorsportal.com/search/#q=di-274|lv-preparation,United States,Carlisle,Dickinson College,"45,07",/ year,4 Years,On campus,13,Social Sciences
26821,"American and Canadian Studies Joint Honours, B.A.",https://www.bachelorsportal.com/studies/26821/american-and-canadian-studies-joint-honours.html,https://www.bachelorsportal.com/search/#q=di-274|lv-preparation,United Kingdom,Birmingham,University of Birmingham,"10,081",/ year,3 Years,On campus,13,Social Sciences
115245,"African American Studies, B.A.",https://www.bachelorsportal.com/studies/115245/african-american-studies.html,"https://www.bachelorsportal.com/search/#q=di-67,274|lv-preparation",United States,Syracuse,Syracuse University,"35,893",/ year,4 Years,On campus,13,Social Sciences
97864,"American Studies Minor, Bachelor",https://www.bachelorsportal.com/studies/97864/american-studies-minor.html,https://www.bachelorsportal.com/search/#q=di-274|lv-preparation,United States,New York City,Long Island University (LIU),"29,416",/ year,2 Years,On campus,13,Social Sciences
50441,"American Studies and Politics with an Intercalary Year (TL72), B.A.",https://www.bachelorsportal.com/studies/50441/american-studies-and-politics-with-an-intercalary-year.html,https://www.bachelorsportal.com/search/#q=di-274|lv-preparation,United Kingdom,Swansea,Swansea University,"10,081",/ year,4 Years,On campus,13,Social Sciences
119739,"American Studies, B.A.",https://www.bachelorsportal.com/studies/119739/american-studies.html,https://www.bachelorsportal.com/search/#q=di-274|lv-preparation,Canada,London,University of Western Ontario,"15,904",/ year,3 Years,On campus,13,Social Sciences
44162,"American Studies, B.A.",https://www.bachelorsportal.com/studies/44162/american-studies.html,https://www.bachelorsportal.com/search/#q=di-274|lv-preparation,United Kingdom,Hull,The University of Hull,"10,081",/ year,4 Years,On campus,13,Social Sciences
30758,"English and American Literature (Hons), B.A.",https://www.bachelorsportal.com/studies/30758/english-and-american-literature.html,"https://www.bachelorsportal.com/search/#q=di-272,274|lv-preparation",United Kingdom,Canterbury,University of Kent,"10,361",/ year,3 Years,On campus,13,Social Sciences
102397,"Asian American Studies, B.Sc.",https://www.bachelorsportal.com/studies/102397/asian-american-studies.html,"https://www.bachelorsportal.com/search/#q=di-67,274|lv-preparation",United States,Davis,"University of California, Davis","34,978",/ year,4 Years,On campus,13,Social Sciences
146753,"Social Sciences, B.A.",https://www.bachelorsportal.com/studies/146753/social-sciences.html,"https://www.bachelorsportal.com/search/#q=di-73,274,277|lv-preparation",United States,San Marcos,California State University San Marcos,"14,003",/ year,4 Years,On campus,13,Social Sciences
184621,"American Studies (United States) (5 years including foundation year and year abroad), B.A.",https://www.bachelorsportal.com/studies/184621/american-studies.html,https://www.bachelorsportal.com/search/#q=di-274|lv-preparation,United Kingdom,Colchester,University of Essex,"10,361",/ year,5 Years,On campus,13,Social Sciences
61857,"American Studies, B.A.",https://www.bachelorsportal.com/studies/61857/american-studies.html,https://www.bachelorsportal.com/search/#q=di-274|lv-preparation,United States,New Brunswick,The State University of New Jersey,"22,42",/ year,4 Years,On campus,13,Social Sciences
106185,"American Studies, B.A.",https://www.bachelorsportal.com/studies/106185/american-studies.html,https://www.bachelorsportal.com/search/#q=di-274|lv-preparation,United States,Boston,Boston University,"43,782",/ year,4 Years,On campus,13,Social Sciences
95602,"American Studies, B.A.",https://www.bachelorsportal.com/studies/95602/american-studies.html,https://www.bachelorsportal.com/search/#q=di-274|lv-preparation,United States,Bloomington,Indiana University Bloomington,"29,41",/ year,4 Years,On campus,13,Social Sciences
185203,"Latin American studies with Business Management (5 years including foundation year), B.A.",https://www.bachelorsportal.com/studies/185203/latin-american-studies-with-business-management.html,"https://www.bachelorsportal.com/search/#q=di-45,89,274|lv-preparation",United Kingdom,Colchester,University of Essex,"10,361",/ year,5 Years,On campus,13,Social Sciences
98189,"American Studies, Bachelor",https://www.bachelorsportal.com/studies/98189/american-studies.html,https://www.bachelorsportal.com/search/#q=di-274|lv-preparation,United States,West Lafayette,Purdue University,"26,454",/ year,4 Years,On campus,13,Social Sciences
171263,"Social and Behavioral Sciences - Native American Studies Concentration, B.A.",https://www.bachelorsportal.com/studies/171263/social-and-behavioral-sciences-native-american-studies-concentration.html,"https://www.bachelorsportal.com/search/#q=di-80,274|lv-preparation",United States,California,California State University Monterey Bay,"4,931",/ year,4 Years,On campus,13,Social Sciences
46027,"American Studies (T700), B.A.",https://www.bachelorsportal.com/studies/46027/american-studies.html,https://www.bachelorsportal.com/search/#q=di-274|lv-preparation,United Kingdom,Swansea,Swansea University,"10,081",/ year,4 Years,On campus,13,Social Sciences
179724,"African American Studies, B.Sc.",https://www.bachelorsportal.com/studies/179724/african-american-studies.html,https://www.bachelorsportal.com/search/#q=di-274|lv-preparation,United States,Cortland,Suny Cortland,"14,015",/ year,4 Years,On campus,13,Social Sciences
177338,"Latin American, Latino and Caribbean Studies, B.Sc.",https://www.bachelorsportal.com/studies/177338/latin-american-latino-and-caribbean-studies.html,https://www.bachelorsportal.com/search/#q=di-274|lv-preparation,United States,Carlisle,Dickinson College,"45,07",/ year,4 Years,On campus,13,Social Sciences
111184,"American Studies, B.A.",https://www.bachelorsportal.com/studies/111184/american-studies.html,https://www.bachelorsportal.com/search/#q=di-274|lv-preparation,United States,Williamsburg,College of William & Mary,"32,141",/ year,,On campus,13,Social Sciences
104053,"American Studies, B.A.",https://www.bachelorsportal.com/studies/104053/american-studies.html,https://www.bachelorsportal.com/search/#q=di-274|lv-preparation,United States,San Francisco,San Francisco State University,"13,236",/ year,4 Years,On campus,13,Social Sciences
102961,"African-American Studies, B.A.",https://www.bachelorsportal.com/studies/102961/african-american-studies.html,https://www.bachelorsportal.com/search/#q=di-274|lv-preparation,United States,Atlanta,Georgia State University,"22,988",/ year,4 Years,On campus,13,Social Sciences
94512,"American Studies, B.A.",https://www.bachelorsportal.com/studies/94512/american-studies.html,https://www.bachelorsportal.com/search/#q=di-274|lv-preparation,United States,Saint Louis,Saint Louis University,"35,675",/ year,4 Years,On campus,13,Social Sciences
157214,"Government - American Politics, B.A.",https://www.bachelorsportal.com/studies/157214/government-american-politics.html,"https://www.bachelorsportal.com/search/#q=di-274,316|lv-preparation",United States,San Antonio,University of the Incarnate Word,"23,96",/ year,4 Years,On campus,13,Social Sciences
100652,"Southern Studies, Bachelor",https://www.bachelorsportal.com/studies/100652/southern-studies.html,"https://www.bachelorsportal.com/search/#q=di-67,274|lv-preparation",United States,Oxford,University of Mississippi,,,,On campus,13,Social Sciences
149619,"Latin American Studies, B.A.",https://www.bachelorsportal.com/studies/149619/latin-american-studies.html,"https://www.bachelorsportal.com/search/#q=di-67,274|lv-preparation",United States,Burlington,The University of Vermont International Study Center,"35,085",/ year,4 Years,On campus,13,Social Sciences
128332,"American Studies, B.A.",https://www.bachelorsportal.com/studies/128332/american-studies.html,https://www.bachelorsportal.com/search/#q=di-274|lv-preparation,United States,Boston,University of Massachusetts Boston,"27,501",/ year,4 Years,On campus,13,Social Sciences
17928,"American (United States) Studies, B.A.",https://www.bachelorsportal.com/studies/17928/american-studies.html,https://www.bachelorsportal.com/search/#q=di-274|lv-preparation,United Kingdom,Colchester,University of Essex,"10,081",/ year,3 Years,On campus,13,Social Sciences
166421,"American Studies, B.A.",https://www.bachelorsportal.com/studies/166421/american-studies.html,https://www.bachelorsportal.com/search/#q=di-274|lv-preparation,United States,New York City,CUNY Brooklyn College,,,4 Years,On campus,13,Social Sciences
17931,"Criminology and American Studies, B.A.",https://www.bachelorsportal.com/studies/17931/criminology-and-american-studies.html,"https://www.bachelorsportal.com/search/#q=di-274,276|lv-preparation",United Kingdom,Colchester,University of Essex,"10,081",/ year,3 Years,On campus,13,Social Sciences
147376,"American Studies, Bachelor",https://www.bachelorsportal.com/studies/147376/american-studies.html,https://www.bachelorsportal.com/search/#q=di-274|lv-preparation,United States,Poughkeepsie,Vassar College,"44,933",/ year,4 Years,On campus,13,Social Sciences
109364,"American Studies, B.A.",https://www.bachelorsportal.com/studies/109364/american-studies.html,https://www.bachelorsportal.com/search/#q=di-274|lv-preparation,United States,Lawrence,University of Kansas,741,/ credit,4 Years,On campus,13,Social Sciences
111212,"Latin American Studies, B.A.",https://www.bachelorsportal.com/studies/111212/latin-american-studies.html,"https://www.bachelorsportal.com/search/#q=di-67,274|lv-preparation",United States,Charlotte,University of North Carolina Charlotte,"14,811",/ year,4 Years,On campus,13,Social Sciences
159924,"American Studies, B.A.",https://www.bachelorsportal.com/studies/159924/american-studies.html,https://www.bachelorsportal.com/search/#q=di-274|lv-preparation,United States,Oxford,Miami University of Ohio,"25,455",/ year,,,13,Social Sciences
