id,name,portalLink,programmeWebsiteLink,country,city,university,tuitionFees,tuitionFeesPeriod,degreeLenght,deliveryMode,disciplineId,disciplineName
377,"Fisheries Biology and Management, M.Sc.",http://www.mastersportal.eu/studies/377/fisheries-biology-and-management.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.uib.no%2Fen%2Fstudyprogramme%2FMAMN-BIO%2FFIFO,Norway,Bergen,University of Bergen,0,/ year,2 Years,On campus,54,Agriculture & Forestry
961,"Applied Animal Behaviour & Animal Welfare, M.Sc.",http://www.mastersportal.eu/studies/961/applied-animal-behaviour-animal-welfare.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.ed.ac.uk%2Fschools-departments%2Fvet%2Fstudying%2Fpostgraduate%2Ftaught-programmes%2Fapplied-animal-behaviour-welfare,United Kingdom,Edinburgh,The University of Edinburgh,"7,84",/ year,1 year,On campus,54,Agriculture & Forestry
382,"Marine Biology, M.Sc.",http://www.mastersportal.eu/studies/382/marine-biology.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.uib.no%2Fen%2Fstudyprogramme%2FMAMN-BIO%2FMAR,Norway,Bergen,University of Bergen,0,/ year,2 Years,On campus,54,Agriculture & Forestry
390,"Aquaculture Biology, M.Sc.",http://www.mastersportal.eu/studies/390/aquaculture-biology.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.uib.no%2Fen%2Fstudyprogramme%2FMAMN-BIO%2FHAV,Norway,Bergen,University of Bergen,0,/ year,2 Years,On campus,54,Agriculture & Forestry
12373,"Agricultural Economics, M.Sc.",http://www.mastersportal.eu/studies/12373/agricultural-economics.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fstudies.ku.dk%2Fmasters%2Fagricultural-economics%2F,Denmark,Copenhagen,University of Copenhagen,0,/ year,2 Years,On campus,54,Agriculture & Forestry
53580,"Agricultural and Food Economics, M.Sc.",http://www.mastersportal.eu/studies/53580/agricultural-and-food-economics.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.ucscinternational.it%2Fgraduate-programs%2F2-year-graduate-degrees-in-english%2Fagricultural-and-food-economics,Italy,Cremona,"Università Cattolica del Sacro Cuore (UCSC), Italy","3,7",/ year,2 Years,On campus,54,Agriculture & Forestry
65001,"Management of Forest Resources, Master",http://www.mastersportal.eu/studies/65001/management-of-forest-resources.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fportal3.ipb.pt%2Findex.php%2Fen%2Fguiaects%2Fdegree-programmes%2Fmaster-programmes-mestre-degree%2Fcourse%3Fcod_escola%3D3041%26cod_curso%3D6363,Portugal,Bragança,Polytechnic Institute of Bragança,"1,06",/ year,2 Years,On campus,54,Agriculture & Forestry
12391,"Sustainable Forest and Nature Management (SUFONAMA), M.Sc.",http://www.mastersportal.eu/studies/12391/sustainable-forest-and-nature-management.html,"http://www.mastersportal.eu/search/#q=di-288,303|lv-preparation",Denmark,Copenhagen,University of Copenhagen,0,/ year,2 Years,On campus,54,Agriculture & Forestry
149637,"Forestry and Natural Resources, M.Sc.",http://www.mastersportal.eu/studies/149637/forestry-and-natural-resources.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fniu-en.niu.edu.tw%2Fca-55-d150529026.html,Taiwan,Yilan,National Ilan University,"1,234",/ year,,On campus,54,Agriculture & Forestry
1468,"Organic Agriculture, M.Sc.",http://www.mastersportal.eu/studies/1468/organic-agriculture.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.wageningenur.nl%2Fen%2FEducation-Programmes%2Fprospective-master-students%2FMSc-programmes%2FMSc-Organic-Agriculture.htm%3Futm_source%3Dmastersportal%26utm_medium%3DOrganic-Agriculture%26utm_campaign%3Dmastersportal,Netherlands,Wageningen,Wageningen University and Research,"2,1",/ year,2 Years,On campus,54,Agriculture & Forestry
