id,name,portalLink,programmeWebsiteLink,country,city,university,tuitionFees,tuitionFeesPeriod,degreeLenght,deliveryMode,disciplineId,disciplineName
41417,"Emergency Management, M.Sc.",http://www.mastersportal.eu/studies/41417/emergency-management.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Finternational.waldenuniversity.com%2Fwalden-programs%2Fpublic-administration%2Fmasters%2Fm-s-in-emergency-management%2F%3Fcomm_code%3D4157006%26cpl%3DStudyPortals%26utm_source%3DMix%26utm_medium%3DCPL%26utm_campaign%3Dstudyportals_cpl_campaign,,,Walden University,,,"1 year, 3 months",Online,12,Applied Sciences & Professions
41421,"Emergency Management - Public Management and Leadership, M.Sc.",http://www.mastersportal.eu/studies/41421/emergency-management-public-management-and-leadership.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Finternational.waldenuniversity.com%2Fwalden-programs%2Fpublic-administration%2Fmasters%2Fm-s-in-emergency-management%2F%3Fcomm_code%3D4157006%26cpl%3DStudyPortals%26utm_source%3DMix%26utm_medium%3DCPL%26utm_campaign%3Dstudyportals_cpl_campaign,,,Walden University,,,"1 year, 6 months",Online,12,Applied Sciences & Professions
43502,"Social Work - Advanced Clinical Practice, Master",http://www.mastersportal.eu/studies/43502/social-work-advanced-clinical-practice.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Finternational.waldenuniversity.com%2Fwalden-programs%2Fsocial-work%2Fmasters%2Fmaster-of-social-work-program%2F%3Fcomm_code%3D4157006%26cpl%3DStudyPortals%26utm_source%3DMix%26utm_medium%3DCPL%26utm_campaign%3Dstudyportals_cpl_campaign,,,Walden University,,,"2 Years, 9 months",Online,12,Applied Sciences & Professions
41336,"Forensic Psychology, M.Sc.",http://www.mastersportal.eu/studies/41336/forensic-psychology.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Finternational.waldenuniversity.com%2Fwalden-programs%2Fpsychology%2Fmasters%2Fm-s-in-forensic-psychology%2F%3Fcomm_code%3D4157006%26cpl%3DStudyPortals%26utm_source%3DMix%26utm_medium%3DCPL%26utm_campaign%3Dstudyportals_cpl_campaign,,,Walden University,,,,Online,12,Applied Sciences & Professions
148834,"Library and Information Studies, M.A.",http://www.mastersportal.eu/studies/148834/library-and-information-studies.html,"http://www.mastersportal.eu/search/#q=di-59,108|lv-preparation",Qatar,Doha,UCL Qatar,"23,499",/ year,1 year,On campus,12,Applied Sciences & Professions
148842,"Museum and Gallery Practice, M.A.",http://www.mastersportal.eu/studies/148842/museum-and-gallery-practice.html,"http://www.mastersportal.eu/search/#q=di-70,259,299|lv-preparation",Qatar,Doha,UCL Qatar,"23,499",/ year,1 year,On campus,12,Applied Sciences & Professions
57702,"Applied Social Studies, Postgraduate Diploma",http://www.mastersportal.eu/studies/57702/applied-social-studies.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.tcd.ie%2Fswsp%2Fpostgraduate%2Fapplied-social-studies%2F,,,Trinity College Dublin,"5,665",/ year,1 year,Online,12,Applied Sciences & Professions
24603,"Food Science, M.Sc.",http://www.mastersportal.eu/studies/24603/food-science.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.isa-lille.com%2Fprograms%2Fmasters-programs%2Ffood-science%2F,France,Lille,ISA Lille - School of Life Sciences and Bioengineering,6,/ year,2 Years,On campus,12,Applied Sciences & Professions
168684,"Alta Moda, Fashion Design, Master",http://www.mastersportal.eu/studies/168684/alta-moda-fashion-design.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.accademiacostumeemoda.it%2Fen%2Facademic-offer%2Fmasters-alta-moda-fashion-design%2F,Italy,Roma,Accademia Costume & Moda,,,1 year,,12,Applied Sciences & Professions
169299,"Creative Knitwear Design, Master",http://www.mastersportal.eu/studies/169299/creative-knitwear-design.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.accademiacostumeemoda.it%2Fen%2Facademic-offer%2Fmaster-creative-knitwear-design%2F,Italy,Roma,Accademia Costume & Moda,,,1 year,On campus,12,Applied Sciences & Professions
76169,"History of Art, M.A.",http://www.mastersportal.eu/studies/76169/history-of-art.html,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fad.doubleclick.net%2Fddm%2Fclk%2F402046868%3B202214326%3Bv,United Kingdom,London,"Birkbeck, University of London - School of Business, Ec…","8,905",/ year,1 year,On campus,12,Applied Sciences & Professions
153480,"Real Estate Investment, Postgraduate Certificate",http://www.mastersportal.eu/studies/153480/real-estate-investment.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.extension.harvard.edu%2Facademics%2Fprofessional-graduate-certificates%2Freal-estate-investment-certificate%3Futm_source%3Dstudyportals%26utm_medium%3Dpaid_listing%26utm_campaign%3Dfall17,United States,Cambridge,Harvard Extension School,"5,839",/ year,"1 year, 6 months",Blended,12,Applied Sciences & Professions
105798,"Museum Studies, Postgraduate Certificate",http://www.mastersportal.eu/studies/105798/museum-studies.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.extension.harvard.edu%2Facademics%2Fprofessional-graduate-certificates%2Fmuseum-studies-certificate%3Futm_source%3Dstudyportals%26utm_medium%3Dpaid_listing%26utm_campaign%3Dfall17,United States,Cambridge,Harvard Extension School,"5,839",/ year,"1 year, 6 months",Blended,12,Applied Sciences & Professions
169295,"Fashion Jewellery, Master",http://www.mastersportal.eu/studies/169295/fashion-jewellery.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.accademiacostumeemoda.it%2Fen%2Facademic-offer%2Fmasters-fashion-jewelry%2F,Italy,Roma,Accademia Costume & Moda,,,1 year,On campus,12,Applied Sciences & Professions
66814,"Graduate Pathway in Forensic Science, Pre-Master",http://www.mastersportal.eu/studies/66814/graduate-pathway-in-forensic-science.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.intostudy.com%2Fen-gb%2Funiversities%2Fgeorge-mason-university%2Fprograms%2Fgraduate-pathway-in-forensic-science%3Futm_source%3Dstudyportals%26utm_medium%3Dreferral%26utm_campaign%3Dstudyportalsresultbased,United States,Fairfax,INTO George Mason University,"30,015",/ year,9 months,On campus,12,Applied Sciences & Professions
156154,"Social Work, M.Sc.",http://www.mastersportal.eu/studies/156154/social-work.html,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fpg2017.uws.ac.uk%2Fcourses%2Fsocial-work%2F,United Kingdom,Paisley,University of the West of Scotland,"1,904",/ year,2 Years,On campus,12,Applied Sciences & Professions
43506,"Social Work - with Children and Families, Master",http://www.mastersportal.eu/studies/43506/social-work-with-children-and-families.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Finternational.waldenuniversity.com%2Fwalden-programs%2Fsocial-work%2Fmasters%2Fmaster-of-social-work-program%2F%3Fcomm_code%3D4157006%26cpl%3DStudyPortals%26utm_source%3DMix%26utm_medium%3DCPL%26utm_campaign%3Dstudyportals_cpl_campaign,,,Walden University,,,3 Years,Online,12,Applied Sciences & Professions
