id,name,portalLink,programmeWebsiteLink,country,city,university,tuitionFees,tuitionFeesPeriod,degreeLenght,deliveryMode,disciplineId,disciplineName
68170,"Digital Media Design, M.Sc.",http://www.mastersportal.eu/studies/68170/digital-media-design.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.eca.ed.ac.uk%2Farchitecture-landscape-architecture%2Fpostgraduate%2Ftaught-degrees%2Fdigital-media-design-msc-online%3Futm_source%3DMastersportal%26utm_medium%3Dprofile%26utm_campaign%3DDigitalMediaDesign,,,The University of Edinburgh,"12,097",/ year,1 year,Online,258,"Arts, Design & Architecture"
35578,"Film and Cultural Management, M.A.",http://www.mastersportal.eu/studies/35578/film-and-cultural-management.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.southampton.ac.uk%2Ffilm%2Fpostgraduate%2Ftaught_courses%2Fp300_ma_film_and_cultural_management.page%3Futm_source%3DFHUM-Postgraduate-Film-Studies-StudyPortals%26utm_medium%3Dadvertising%26utm_content%3D%26utm_campaign%3DPG2017,United Kingdom,Southampton,University of Southampton,"10,081",/ year,1 year,On campus,258,"Arts, Design & Architecture"
155356,"Curatorship of Architecture and Design, Master",http://www.mastersportal.eu/studies/155356/curatorship-of-architecture-and-design.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.curatorship.eu%2F,Italy,Venice,Universita IUAV di Venezia,12,/ year,1 year,On campus,258,"Arts, Design & Architecture"
30344,"Instructional Design and Technology, M.Sc.",http://www.mastersportal.eu/studies/30344/instructional-design-and-technology.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Finternational.waldenuniversity.com%2Fwalden-programs%2Feducation%2Fmasters%2Fm-s-in-instructional-design-and-technology%2F%3Fcomm_code%3D4157006%26cpl%3DStudyPortals%26utm_source%3DMix%26utm_medium%3DCPL%26utm_campaign%3Dstudyportals_cpl_campaign,,,Walden University,,,,Online,258,"Arts, Design & Architecture"
169295,"Fashion Jewellery, Master",http://www.mastersportal.eu/studies/169295/fashion-jewellery.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.accademiacostumeemoda.it%2Fen%2Facademic-offer%2Fmasters-fashion-jewelry%2F,Italy,Roma,Accademia Costume & Moda,,,1 year,On campus,258,"Arts, Design & Architecture"
169299,"Creative Knitwear Design, Master",http://www.mastersportal.eu/studies/169299/creative-knitwear-design.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.accademiacostumeemoda.it%2Fen%2Facademic-offer%2Fmaster-creative-knitwear-design%2F,Italy,Roma,Accademia Costume & Moda,,,1 year,On campus,258,"Arts, Design & Architecture"
148842,"Museum and Gallery Practice, M.A.",http://www.mastersportal.eu/studies/148842/museum-and-gallery-practice.html,"http://www.mastersportal.eu/search/#q=di-70,259,299|lv-preparation",Qatar,Doha,UCL Qatar,"23,499",/ year,1 year,On campus,258,"Arts, Design & Architecture"
168684,"Alta Moda, Fashion Design, Master",http://www.mastersportal.eu/studies/168684/alta-moda-fashion-design.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.accademiacostumeemoda.it%2Fen%2Facademic-offer%2Fmasters-alta-moda-fashion-design%2F,Italy,Roma,Accademia Costume & Moda,,,1 year,,258,"Arts, Design & Architecture"
171567,"Music Performance or Composition, Master",http://www.mastersportal.eu/studies/171567/music-performance-or-composition.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.uib.no%2Fen%2Fstudyprogramme%2FMAHF-MUUT%23uib-tabs-presentation,Norway,Bergen,University of Bergen,0,/ year,2 Years,On campus,258,"Arts, Design & Architecture"
118255,"Applied Music Studies, Master",http://www.mastersportal.eu/studies/118255/applied-music-studies.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.uib.no%2Fen%2Fstudyprogramme%2FMAHF-MUUT,Norway,Bergen,University of Bergen,0,/ year,2 Years,On campus,258,"Arts, Design & Architecture"
35577,"Film Studies, M.A.",http://www.mastersportal.eu/studies/35577/film-studies.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.southampton.ac.uk%2Ffilm%2Fpostgraduate%2Ftaught_courses%2Fp300_ma_film.page%3Futm_source%3DFHUM-Postgraduate-Film-Studies-StudyPortals%26utm_medium%3Dadvertising%26utm_content%3D%26utm_campaign%3DPG2017,United Kingdom,Southampton,University of Southampton,"10,081",/ year,1 year,On campus,258,"Arts, Design & Architecture"
166620,"Film and Television, M.A.",http://www.mastersportal.eu/studies/166620/film-and-television.html,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fakts.bahcesehir.edu.tr%2Fbilgipaketi%2Findex%2Fprogramtanimi%2Fprogram_kodu%2F30233301%2Fmenu_id%2Fp_29%2Fln%2Fen%3Fsubmenuheader%3D2,Turkey,Istanbul,Bahcesehir University,"5,152",/ year,2 Years,On campus,258,"Arts, Design & Architecture"
