id,name,portalLink,programmeWebsiteLink,country,city,university,tuitionFees,tuitionFeesPeriod,degreeLenght,deliveryMode,disciplineId,disciplineName
60242,"Financial Analysis and Business Development, M.Sc.",http://www.mastersportal.eu/studies/60242/financial-analysis-and-business-development.html,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.hanken.fi%2Fen%2Fnode%2F490741%2F,Finland,Helsinki,Hanken School of Economics,0,/ year,2 Years,On campus,23,Business & Management
37103,"Accounting and Financial Management, M.Sc.",http://www.mastersportal.eu/studies/37103/accounting-and-financial-management.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.hhs.se%2Fen%2FEducation%2FMSc%2FMAFM%2F,Sweden,Stockholm,Stockholm School of Economics,0,/ year,2 Years,On campus,23,Business & Management
426,"Financial and Management Accounting, M.Sc.",http://www.mastersportal.eu/studies/426/financial-and-management-accounting.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.oulu.fi%2Funiversity%2Fmasters%2Ffma,Finland,Oulu,University of Oulu,0,/ year,2 Years,On campus,23,Business & Management
436,"Accounting and Financial Management, M.Sc.",http://www.mastersportal.eu/studies/436/accounting-and-financial-management.html,"http://www.mastersportal.eu/search/#q=di-87,93|lv-preparation",Sweden,Göteborg,University of Gothenburg,0,/ year,2 Years,On campus,23,Business & Management
31981,"Accounting and Control, M.Sc.",http://www.mastersportal.eu/studies/31981/accounting-and-control.html,http://www.mastersportal.eu/search/#q=di-93|lv-preparation,Sweden,Karlstad,University of Karlstad,0,/ year,1 year,On campus,23,Business & Management
44518,"Accounting, Strategy and Control, M.Sc.",http://www.mastersportal.eu/studies/44518/accounting-strategy-and-control.html,"http://www.mastersportal.eu/search/#q=di-93,245|lv-preparation",Denmark,Copenhagen,Copenhagen Business School (CBS),0,/ year,2 Years,On campus,23,Business & Management
155234,"Accounting and Finance, M.Sc.",http://www.mastersportal.eu/studies/155234/accounting-and-finance.html,"http://www.mastersportal.eu/search/#q=di-87,93|lv-preparation",Sweden,Lund,Lund University,0,/ year,1 year,On campus,23,Business & Management
10063,"Finance, Accounting and Taxation, M.Sc.",http://www.mastersportal.eu/studies/10063/finance-accounting-and-taxation.html,"http://www.mastersportal.eu/search/#q=di-87,93,247|lv-preparation",Germany,Berlin,Freie Universität Berlin,0,/ year,2 Years,On campus,23,Business & Management
36447,"Accounting, M.Sc.",http://www.mastersportal.eu/studies/36447/accounting.html,http://www.mastersportal.eu/search/#q=di-93|lv-preparation,Finland,Helsinki,Aalto University,0,/ year,2 Years,On campus,23,Business & Management
38034,"Economics and Business Administration - Management Accounting, M.Sc.",http://www.mastersportal.eu/studies/38034/economics-and-business-administration-management-accounting.html,"http://www.mastersportal.eu/search/#q=di-4,89,93|lv-preparation",Denmark,Odense,University of Southern Denmark,0,/ year,2 Years,On campus,23,Business & Management
