id,name,portalLink,programmeWebsiteLink,country,city,university,tuitionFees,tuitionFeesPeriod,degreeLenght,deliveryMode,disciplineId,disciplineName
89347,"Natural Sciences, M.Sc.",http://www.mastersportal.eu/studies/89347/natural-sciences.html,"http://www.mastersportal.eu/search/#q=di-46,47,108|lv-preparation",United Kingdom,Bath,University of Bath,"10,081",/ year,4 Years,On campus,24,Computer Science & IT
117243,"Genomics and Bioinformatics, M.Sc.",http://www.mastersportal.eu/studies/117243/genomics-and-bioinformatics.html,"http://www.mastersportal.eu/search/#q=di-81,108,118|lv-preparation",United States,Fargo,North Dakota State University,"16,631",/ year,2 Years,On campus,24,Computer Science & IT
44402,"Information Science and Technology, M.Sc.",http://www.mastersportal.eu/studies/44402/information-science-and-technology.html,http://www.mastersportal.eu/search/#q=di-108|lv-preparation,Russia,Moscow,Skolkovo Institute of Science and Technology (Skoltech)…,,,2 Years,On campus,24,Computer Science & IT
77083,"Science, M.Sc.",http://www.mastersportal.eu/studies/77083/science.html,"http://www.mastersportal.eu/search/#q=di-24,47,81|lv-preparation",New Zealand,Auckland,University of Auckland,"23,857",/ year,1 year,On campus,24,Computer Science & IT
57935,"Health Informatics, Postgraduate Certificate",http://www.mastersportal.eu/studies/57935/health-informatics.html,"http://www.mastersportal.eu/search/#q=di-283|lv-preparation|mh-blended,online",,,Boston University,,,8 months,Online,24,Computer Science & IT
104834,"Humanities Computing, M.A.",http://www.mastersportal.eu/studies/104834/humanities-computing.html,"http://www.mastersportal.eu/search/#q=di-59,281|lv-preparation",Canada,Edmonton,University of Alberta,"5,896",/ year,3 Years,On campus,24,Computer Science & IT
139697,"Games Design, M.A.",http://www.mastersportal.eu/studies/139697/games-design.html,"http://www.mastersportal.eu/search/#q=di-261,280|lv-preparation",United Kingdom,Preston,University of Central Lancashire (UCLAN),"6,72",/ year,1 year,On campus,24,Computer Science & IT
64156,"Quantitative and Computational Biology, Master",http://www.mastersportal.eu/studies/64156/quantitative-and-computational-biology.html,"http://www.mastersportal.eu/search/#q=di-24,81|lv-preparation",United States,Princeton,Princeton University,,,5 Years,On campus,24,Computer Science & IT
161278,"Video Game Development, MA / MSc",http://www.mastersportal.eu/studies/161278/video-game-development.html,"http://www.mastersportal.eu/search/#q=di-280,281|lv-preparation",United Kingdom,Birmingham,Birmingham City University,"9,969",/ year,,On campus,24,Computer Science & IT
93195,"Hotel Administration - Management Information Systems, M.Sc.",http://www.mastersportal.eu/studies/93195/hotel-administration-management-information-systems.html,"http://www.mastersportal.eu/search/#q=di-279,311|lv-preparation",United States,Las Vegas,"University of Nevada, Las Vegas","19,987",/ year,,On campus,24,Computer Science & IT
48063,"Computer Engineering and Mathematics, Master",http://www.mastersportal.eu/studies/48063/computer-engineering-and-mathematics.html,"http://www.mastersportal.eu/search/#q=di-40,281|lv-preparation|mh-blended,online",,,Universitat Rovira I Virgili,"2,91",/ year,1 year,Online,24,Computer Science & IT
168077,"Biomedical Engineering - Bioinformatics, MASc",http://www.mastersportal.eu/studies/168077/biomedical-engineering-bioinformatics.html,"http://www.mastersportal.eu/search/#q=di-30,108,118|lv-preparation",Canada,Ottawa,University of Ottawa,,,2 Years,On campus,24,Computer Science & IT
149181,"Networks and Communications, Master",http://www.mastersportal.eu/studies/149181/networks-and-communications.html,"http://www.mastersportal.eu/search/#q=di-108,281|lv-preparation",Russia,Tomsk,Tomsk Polytechnic University,"2,05",/ year,2 Years,On campus,24,Computer Science & IT
36617,"Advanced Security and Digital Forensics, M.Sc.",http://www.mastersportal.eu/studies/36617/advanced-security-and-digital-forensics.html,"http://www.mastersportal.eu/search/#q=di-112,285|lv-preparation",United Kingdom,Edinburgh,Edinburgh Napier University,"4,2",/ year,"1 year, 6 months",On campus,24,Computer Science & IT
84850,"Medical Robotics and Image-Guided Intervention, M.Res.",http://www.mastersportal.eu/studies/84850/medical-robotics-and-image-guided-intervention.html,"http://www.mastersportal.eu/search/#q=di-24,92|lv-preparation",United Kingdom,London,Imperial College London,"10,641",/ year,1 year,On campus,24,Computer Science & IT
74753,"Wireless Communications and Networking, M.Sc.",http://www.mastersportal.eu/studies/74753/wireless-communications-and-networking.html,"http://www.mastersportal.eu/search/#q=di-24,71|lv-preparation",United Kingdom,Birmingham,Aston University,"5,6",/ year,1 year,On campus,24,Computer Science & IT
143768,"Library and Information Science, M.Sc.",http://www.mastersportal.eu/studies/143768/library-and-information-science.html,"http://www.mastersportal.eu/search/#q=di-59,108|lv-preparation",Malaysia,Kuala Lumpur,International Islamic University of Malaysia,,,2 Years,On campus,24,Computer Science & IT
83117,"Science, Technology & Medicine in History, M.A.",http://www.mastersportal.eu/studies/83117/science-technology-medicine-in-history.html,"http://www.mastersportal.eu/search/#q=di-74,92,108|lv-preparation",United Kingdom,London,King's College London,"10,081",/ year,1 year,On campus,24,Computer Science & IT
56539,"Information Technology (Project Management), M.Sc.",http://www.mastersportal.eu/studies/56539/information-technology.html,"http://www.mastersportal.eu/search/#q=di-89,108|lv-preparation|mh-blended,online",,,University of Maryland University College,,,,Online,24,Computer Science & IT
153960,"Computer Systems Engineering with Industrial Experience, M.Eng.",http://www.mastersportal.eu/studies/153960/computer-systems-engineering-with-industrial-experience.html,"http://www.mastersportal.eu/search/#q=di-26,281|lv-preparation",United Kingdom,Manchester,The University of Manchester,"10,081",/ year,5 Years,On campus,24,Computer Science & IT
99249,"Media and Information, M.A.",http://www.mastersportal.eu/studies/99249/media-and-information.html,"http://www.mastersportal.eu/search/#q=di-108,308|lv-preparation",United States,East Lansing,Michigan State University,,,2 Years,On campus,24,Computer Science & IT
75279,"Computer and Information Security, M.Sc.",http://www.mastersportal.eu/studies/75279/computer-and-information-security.html,"http://www.mastersportal.eu/search/#q=di-281,285|lv-preparation",United Kingdom,Plymouth,Plymouth University,"8,401",/ year,1 year,On campus,24,Computer Science & IT
93337,"Biotechnology and Business, Master",http://www.mastersportal.eu/studies/93337/biotechnology-and-business.html,"http://www.mastersportal.eu/search/#q=di-232,241,279|lv-preparation",Australia,Sydney,Macquarie University,"24,2",/ year,1 year,On campus,24,Computer Science & IT
93653,"Business Information Systems, M.A.",http://www.mastersportal.eu/studies/93653/business-information-systems.html,"http://www.mastersportal.eu/search/#q=di-45,93,279|lv-preparation",Australia,Canberra,Australian National University,"27,886",/ year,2 Years,On campus,24,Computer Science & IT
107109,"Information Systems, M.Phil.",http://www.mastersportal.eu/studies/107109/information-systems.html,"http://www.mastersportal.eu/search/#q=di-108,130|lv-preparation|mh-blended,online",,,Curtin University of Technology,,,2 Years,Online,24,Computer Science & IT
57360,"Computer Science, M.Eng.",http://www.mastersportal.eu/studies/57360/computer-science.html,http://www.mastersportal.eu/search/#q=di-281|lv-preparation,United Kingdom,Southampton,University of Southampton,"10,361",/ year,4 Years,On campus,24,Computer Science & IT
187875,"Systems and Engineering Management, M.Sc.",http://www.mastersportal.eu/studies/187875/systems-and-engineering-management.html,"http://www.mastersportal.eu/search/#q=di-26,279|lv-preparation",United Arab Emirates,Abu Dhabi,Khalifa University,"1,168",/ credit,"1 year, 6 months",On campus,24,Computer Science & IT
167564,"Information Technology (IT), M.Sc.",http://www.mastersportal.eu/studies/167564/information-technology.html,http://www.mastersportal.eu/search/#q=di-108|lv-preparation,Turkey,Ankara,Atilim University,"6,87",/ year,1 year,On campus,24,Computer Science & IT
101926,"Computer Science & Engineering, M.Sc.",http://www.mastersportal.eu/studies/101926/computer-science-engineering.html,http://www.mastersportal.eu/search/#q=di-281|lv-preparation,United States,Buffalo,University at Buffalo,"35,93",/ year,2 Years,On campus,24,Computer Science & IT
82623,"Data Science, M.Sc.",http://www.mastersportal.eu/studies/82623/data-science.html,"http://www.mastersportal.eu/search/#q=di-24,59|lv-preparation",United Kingdom,London,King's College London,"9,543",/ year,1 year,On campus,24,Computer Science & IT
167842,"Management Information Systems, M.Sc.",http://www.mastersportal.eu/studies/167842/management-information-systems.html,"http://www.mastersportal.eu/search/#q=di-89,108|lv-preparation",Turkey,Mersin,Cyprus International University,,,,On campus,24,Computer Science & IT
65103,"Energy Informatics, M.Sc.",http://www.mastersportal.eu/studies/65103/energy-informatics.html,"http://www.mastersportal.eu/search/#q=di-94,108|lv-preparation",Austria,Hagenberg im Mühlkreis,University of Applied Sciences Upper Austria,,,2 Years,On campus,24,Computer Science & IT
25916,"Computer Vision, M.Sc.",http://www.mastersportal.eu/studies/25916/computer-vision.html,"http://www.mastersportal.eu/search/#q=di-108,281|lv-preparation",Spain,Barcelona,Universitat Autònoma de Barcelona,46,/ credit,1 year,On campus,24,Computer Science & IT
2692,"Computer Systems, Master",http://www.mastersportal.eu/studies/2692/computer-systems.html,http://www.mastersportal.eu/search/#q=di-281|lv-preparation,Latvia,Riga,Riga Technical University,"3,22",/ year,2 Years,On campus,24,Computer Science & IT
167571,"Computer Information Systems and Information Technology, M.Sc.",http://www.mastersportal.eu/studies/167571/computer-information-systems-and-information-technology.html,"http://www.mastersportal.eu/search/#q=di-108,281|lv-preparation",United States,Missouri City,University of Central Missouri,474,/ credit,1 year,On campus,24,Computer Science & IT
53664,"By Research Computer Science, M.Sc.",http://www.mastersportal.eu/studies/53664/by-research-computer-science.html,http://www.mastersportal.eu/search/#q=di-281|lv-preparation,United Kingdom,Swansea,Swansea University,"4,698",/ year,1 year,On campus,24,Computer Science & IT
