id,name,portalLink,programmeWebsiteLink,country,city,university,tuitionFees,tuitionFeesPeriod,degreeLenght,deliveryMode,disciplineId,disciplineName
171809,"Mathematics-Educational Mathematics, Master",http://www.mastersportal.eu/studies/171809/mathematics-educational-mathematics.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.uib.no%2Fen%2Fstudyprogramme%2FMAMN-MAT%2FSK,Norway,Bergen,University of Bergen,0,/ year,2 Years,On campus,289,Education & Training
154738,"Statistical Learning Theory, Master",http://www.mastersportal.eu/studies/154738/statistical-learning-theory.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.hse.ru%2Fen%2Fma%2Fsltheory%2F,Russia,Moscow,National Research University - Higher School of Economi…,"4,605",/ year,2 Years,On campus,289,Education & Training
30330,"Nursing -  Education, M.Sc.",http://www.mastersportal.eu/studies/30330/nursing-education.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Finternational.waldenuniversity.com%2Fwalden-programs%2Fnursing%2F%3Fcomm_code%3D4157006%26cpl%3DStudyPortals%26utm_source%3DMix%26utm_medium%3DCPL%26utm_campaign%3Dstudyportals_cpl_campaign,,,Walden University,,,,Online,289,Education & Training
30393,"Education Specialist (Ed.S.) in Educational Technology, Master",http://www.mastersportal.eu/studies/30393/education-specialist-in-educational-technology.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Finternational.waldenuniversity.com%2Fwalden-programs%2Feducation%2Fpost-master-s%2Feducation-specialist%2F%3Fcomm_code%3D4157006%26cpl%3DStudyPortals%26utm_source%3DMix%26utm_medium%3DCPL%26utm_campaign%3Dstudyportals_cpl_campaign,,,Walden University,,,"1 year, 6 months",Online,289,Education & Training
152381,"Health Education and Promotion - Health Policy and Advocacy, M.Sc.",http://www.mastersportal.eu/studies/152381/health-education-and-promotion-health-policy-and-advocacy.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Finternational.waldenuniversity.com%2Fwalden-programs%2Fpublic-health%2Fmasters%2Fm-s-in-health-education-and-promotion%2F%3Fcomm_code%3D4157006%26cpl%3DStudyPortals%26utm_source%3DMix%26utm_medium%3DCPL%26utm_campaign%3Dstudyportals_cpl_campaign,,,Walden University,,,,Online,289,Education & Training
45473,"Education - Reading and Literacy with a Reading K-12 Endorsement, M.Sc.",http://www.mastersportal.eu/studies/45473/education-reading-and-literacy-with-a-reading-k-12-endorsement.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Finternational.waldenuniversity.com%2Fwalden-programs%2Feducation%2Fmasters%2Fm-s-in-education%2F%3Fcomm_code%3D4157006%26cpl%3DStudyPortals%26utm_source%3DMix%26utm_medium%3DCPL%26utm_campaign%3Dstudyportals_cpl_campaign,,,Walden University,,,"1 year, 8 months",Online,289,Education & Training
41345,"Psychology - Educational Psychology, M.Sc.",http://www.mastersportal.eu/studies/41345/psychology-educational-psychology.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Finternational.waldenuniversity.com%2Fwalden-programs%2Fpsychology%2Fmasters%2Fm-s-in-psychology%2F%3Fcomm_code%3D4157006%26cpl%3DStudyPortals%26utm_source%3DMix%26utm_medium%3DCPL%26utm_campaign%3Dstudyportals_cpl_campaign,,,Walden University,,,"1 year, 6 months",Online,289,Education & Training
152382,"Health Education and Promotion - Self-Designed, M.Sc.",http://www.mastersportal.eu/studies/152382/health-education-and-promotion-self-designed.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Finternational.waldenuniversity.com%2Fwalden-programs%2Fpublic-health%2Fmasters%2Fm-s-in-health-education-and-promotion%2F%3Fcomm_code%3D4157006%26cpl%3DStudyPortals%26utm_source%3DMix%26utm_medium%3DCPL%26utm_campaign%3Dstudyportals_cpl_campaign,,,Walden University,,,,Online,289,Education & Training
40890,"Education - Curriculum, Instruction, and Assessment (Grades K-12), M.Sc.",http://www.mastersportal.eu/studies/40890/education-curriculum-instruction-and-assessment.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Finternational.waldenuniversity.com%2Fwalden-programs%2Feducation%2Fmasters%2Fm-s-in-education%2F%3Fcomm_code%3D4157006%26cpl%3DStudyPortals%26utm_source%3DMix%26utm_medium%3DCPL%26utm_campaign%3Dstudyportals_cpl_campaign,,,Walden University,,,"1 year, 8 months",Online,289,Education & Training
152351,"Early Childhood Studies (Competency Based) - Administration, Management, and Leadership, M.Sc.",http://www.mastersportal.eu/studies/152351/early-childhood-studies-administration-management-and-leadership.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Finternational.waldenuniversity.com%2Fwalden-programs%2Feducation%2Fmasters%2Fm-s-in-early-childhood-studies%2F%3Fcomm_code%3D4157006%26cpl%3DStudyPortals%26utm_source%3DMix%26utm_medium%3DCPL%26utm_campaign%3Dstudyportals_cpl_campaign,,,Walden University,,,,Online,289,Education & Training
