id,name,portalLink,programmeWebsiteLink,country,city,university,tuitionFees,tuitionFeesPeriod,degreeLenght,deliveryMode,disciplineId,disciplineName
160714,"Advanced Studies (MAS)  in Science, Technology and Policy, Master",http://www.mastersportal.eu/studies/160714/advanced-studies-in-science-technology-and-policy.html,http://www.istp.ethz.ch/education/mas.html,Switzerland,Zürich,ETH Zurich - Swiss Federal Institute of Technology,"13,815",/ year,1 year,On campus,7,Engineering & Technology
17211,"Mechanical Engineering Phd, M.Sc.",http://www.mastersportal.eu/studies/17211/mechanical-engineering-phd.html,,Turkey,Istanbul,Koc University,"13,7",/ year,2 Years,On campus,7,Engineering & Technology
53268,"Governance of Science, Technology and Innovation, M.Sc.",http://www.mastersportal.eu/studies/53268/governance-of-science-technology-and-innovation.html,http://www.hse.ru/en/ma/sti/,Russia,Moscow,National Research University - Higher School of Economi…,"5,495",/ year,2 Years,On campus,7,Engineering & Technology
176577,"Engineering, Master",http://www.mastersportal.eu/studies/176577/engineering.html,,France,Courbevoie,Leonard de Vinci Group,"7,6",/ year,2 Years,On campus,7,Engineering & Technology
38900,"Signal Processing and Computing, M.Sc.",http://www.mastersportal.eu/studies/38900/signal-processing-and-computing.html,http://www.en.aau.dk/education/master/signal-processing-and-computing,Denmark,Aalborg,Aalborg University,0,/ year,2 Years,On campus,7,Engineering & Technology
43257,"Biomedical Sciences and Engineering Phd, M.Sc.",http://www.mastersportal.eu/studies/43257/biomedical-sciences-and-engineering-phd.html,,Turkey,Istanbul,Koc University,"13,7",/ year,1 year,On campus,7,Engineering & Technology
17208,"Electrical and Electronics Engineering Phd, M.Sc.",http://www.mastersportal.eu/studies/17208/electrical-and-electronics-engineering-phd.html,,Turkey,Istanbul,Koc University,"13,7",/ year,2 Years,On campus,7,Engineering & Technology
30196,"Optoelectronic and Photonics Engineering Phd, M.Sc.",http://www.mastersportal.eu/studies/30196/optoelectronic-and-photonics-engineering-phd.html,,Turkey,Istanbul,Koc University,"13,7",/ year,2 Years,On campus,7,Engineering & Technology
27061,"Electronics, Master",http://www.mastersportal.eu/studies/27061/electronics.html,http://www.esiee.fr/en/programmes/international-masters/master-of-electronics,France,Paris,ESIEE Paris,"8,1",/ year,2 Years,On campus,7,Engineering & Technology
156882,"Oil and Gas Management, PgDip, M.Sc.",http://www.mastersportal.eu/studies/156882/oil-and-gas-management-pgdip.html,https://ad.doubleclick.net/ddm/clk/317308113;145927862;g,United Kingdom,Middlesbrough,Teesside University,"5,141",/ year,1 year,On campus,7,Engineering & Technology
105678,"Sustainability, Master",http://www.mastersportal.eu/studies/105678/sustainability.html,http://www.extension.harvard.edu/academics/graduate-degrees/sustainability-degree?utm_source=studyportals&utm_medium=paid_listing&utm_campaign=fall17,United States,Cambridge,Harvard Extension School,"26,279",/ full,,Blended,7,Engineering & Technology
30344,"Instructional Design and Technology, M.Sc.",http://www.mastersportal.eu/studies/30344/instructional-design-and-technology.html,http://international.waldenuniversity.com/walden-programs/education/masters/m-s-in-instructional-design-and-technology/?comm_code=4157006&cpl=StudyPortals&utm_source=Mix&utm_medium=CPL&utm_campaign=studyportals_cpl_campaign,,,Walden University,,,,Online,7,Engineering & Technology
151516,"Graduate Pathway in Electrical & Computer Engineering - High Performance Computing, Pre-Master",http://www.mastersportal.eu/studies/151516/graduate-pathway-in-electrical-computer-engineering-high-performance-computing.html,http://www.intostudy.com/en-gb/universities/colorado-state-university/programs/graduate-pathway-in-ece-high-performance-me?utm_source=studyportals&utm_medium=referral&utm_campaign=studyportalsresultbased,United States,Fort Collins,INTO Colorado State University,"24,742",/ year,9 months,On campus,7,Engineering & Technology
14914,"Control Systems Engineering, M.Sc.",http://www.mastersportal.eu/studies/14914/control-systems-engineering.html,http://www.han.nl/opleidingen/master/en/control-systems-engineering/,Netherlands,Nijmegen,HAN University of Applied Sciences,"2,006",/ year,"1 year, 6 months",On campus,7,Engineering & Technology
14922,"Automotive Systems, M.Sc.",http://www.mastersportal.eu/studies/14922/automotive-systems.html,http://www.han.nl/opleidingen/master/en/automotive-systems/,Netherlands,Nijmegen,HAN University of Applied Sciences,"2,006",/ year,"1 year, 6 months",On campus,7,Engineering & Technology
61887,"Wireless Communicant Sensors, Master",http://www.mastersportal.eu/studies/61887/wireless-communicant-sensors.html,http://www.esiee.fr/en/programmes/international-masters/master-wireless-communicant-sensors,France,Paris,ESIEE Paris,"5,666",/ year,"1 year, 6 months",On campus,7,Engineering & Technology
143856,"MS Information Systems, MSIS",http://www.mastersportal.eu/studies/143856/ms-information-systems.html,http://www.memphis.edu/bitm/programs/msbaprogram.php,United States,Memphis,"Fogelman College of Business and Economics, University …",930,/ credit,"1 year, 5 months",On campus,7,Engineering & Technology
138508,"Chemical Engineering, M.Sc.",http://www.mastersportal.eu/studies/138508/chemical-engineering.html,http://www.aus.edu/info/200136/graduate_programs/262/master_of_science_in_chemical_engineering_msche,United Arab Emirates,Sharjah,American University of Sharjah (AUS),"1,2",/ credit,"1 year, 6 months",On campus,7,Engineering & Technology
27060,"International Master of Computer Science (Diplôme D'Ingénieur), Master",http://www.mastersportal.eu/studies/27060/international-master-of-computer-science.html,http://www.esiee.fr/en/programmes/international-masters/master-of-computer-science-diplome-ingenieur,France,Paris,ESIEE Paris,"8,1",/ year,2 Years,On campus,7,Engineering & Technology
17209,"Industrial Engineering and Operations Management Phd, M.Sc.",http://www.mastersportal.eu/studies/17209/industrial-engineering-and-operations-management-phd.html,,Turkey,Istanbul,Koc University,"13,7",/ year,2 Years,On campus,7,Engineering & Technology
17210,"Materials Science and Engineering Phd, M.Sc.",http://www.mastersportal.eu/studies/17210/materials-science-and-engineering-phd.html,,Turkey,Istanbul,Koc University,"13,7",/ year,2 Years,On campus,7,Engineering & Technology
147231,"Acoustics, M.Sc.",http://www.mastersportal.eu/studies/147231/acoustics.html,http://master-acoustics.ec-lyon.fr/index.php,France,Lyon,Université de Lyon,,,2 Years,On campus,7,Engineering & Technology
160752,"Physics and Nanotechnology, M.Sc.",http://www.mastersportal.eu/studies/160752/physics-and-nanotechnology.html,http://www.dtu.dk/PhysNan,Denmark,Copenhagen,Technical University of Denmark (DTU),0,/ year,2 Years,On campus,7,Engineering & Technology
154734,"City and Technology, Master",http://www.mastersportal.eu/studies/154734/city-and-technology.html,http://www.hse.ru/en/ma/techcity/,Russia,Moscow,National Research University - Higher School of Economi…,"7,06",/ year,2 Years,On campus,7,Engineering & Technology
