id,name,portalLink,programmeWebsiteLink,country,city,university,tuitionFees,tuitionFeesPeriod,degreeLenght,deliveryMode,disciplineId,disciplineName
182430,"Master of Business Administration - International Hospitality and Spa Management, M.B.A.",http://www.mastersportal.eu/studies/182430/master-of-business-administration-international-hospitality-and-spa-management.html,"http://www.mastersportal.eu/search/#q=di-89,311|lv-preparation|mh-blended,online",Austria,Graz,FH Joanneum University of Applied Sciences,10,/ year,2 Years,Blended,64,"Hospitality, Leisure & Sports"
122832,"Hospitality and Tourism Management, M.B.A.",http://www.mastersportal.eu/studies/122832/hospitality-and-tourism-management.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.ostelea.com%2Fes%2Fmaster%2Fmba-hospitality-tourism-management%3Futm_medium%3Dafiliate%26utm_source%3Dreferral%26utm_publisher%3Dmastersportal%26utm_campaign%3DI30207M0003%26utm_term%3Dconversion%26utm_content%3Dficha_curso_y_url%26var%3Dno%26c%3DI30207M0003,Spain,Barcelona,Ostelea - School of Tourism and Hospitality  Másters,"18,677",/ year,1 year,On campus,64,"Hospitality, Leisure & Sports"
20167,"International Leisure and Tourism Studies, M.A.",http://www.mastersportal.eu/studies/20167/international-leisure-and-tourism-studies.html,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fstenden.com%2Fen%2Fstudies%2Finternational-leisure-and-tourism-studies-ma%2F,Netherlands,Leeuwarden,Stenden University of Applied Sciences,"1,719",/ year,"1 year, 2 months",On campus,64,"Hospitality, Leisure & Sports"
50128,"International Hospitality Management, M.Sc.",http://www.mastersportal.eu/studies/50128/international-hospitality-management.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fmsc-hospitality.com%3Futm_source%3DStudyportals%26utm_campaign%3DReferencement%26utm_medium%3DProfil%26utm_content%3D,France,Lyon,emlyon business school,27,/ year,"1 year, 4 months",On campus,64,"Hospitality, Leisure & Sports"
51683,"Innovation and Tourism Marketing, Master",http://www.mastersportal.eu/studies/51683/innovation-and-tourism-marketing.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Finternational.ucam.edu%2Fstudies%2Fmasters-in-innovation-and-tourism-marketing,,,UCAM - Catholic University of Murcia,"5,9",/ year,1 year,Online,64,"Hospitality, Leisure & Sports"
154733,"International Tourism Management, Master",http://www.mastersportal.eu/studies/154733/international-tourism-management.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.ostelea.com%2Fes%2Fmaster%2Fmaster-international-tourism-management%3Futm_medium%3Dafiliate%26utm_source%3Dreferral%26utm_publisher%3Dmastersportal%26utm_campaign%3DI30207M0003%26utm_term%3Dconversion%26utm_content%3Dficha_curso_y_url%26var%3Dno%26c%3DI30207M0003,Spain,Madrid,Ostelea - School of Tourism and Hospitality  Másters,"15,2",/ year,1 year,On campus,64,"Hospitality, Leisure & Sports"
132515,"Global Hospitality and Tourism, M.B.A.",http://www.mastersportal.eu/studies/132515/global-hospitality-and-tourism.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.uet.international%2Fmba.html,Italy,Milano,UET Italia,"7,941",/ year,1 year,On campus,64,"Hospitality, Leisure & Sports"
156087,"International Events Management, M.Sc.",http://www.mastersportal.eu/studies/156087/international-events-management.html,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fpg2017.uws.ac.uk%2Fcourses%2Finternational-events-management%2F,United Kingdom,Paisley,University of the West of Scotland,"3,821",/ year,1 year,Blended,64,"Hospitality, Leisure & Sports"
159738,"Hospitality and Tourism Management (HTM) – Dual Degree, M.Sc.",http://www.mastersportal.eu/studies/159738/hospitality-and-tourism-management-dual-degree.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.iulm.com%2Fwps%2Fwcm%2Fconnect%2Fiulmcom%2Fiulm-com%2Fstudy-at-iulm%2Fpostgraduate-programmes%2Fhospitality-and-tourism-management,Italy,Milano,IULM University - Milan,"9,3",/ year,2 Years,Blended,64,"Hospitality, Leisure & Sports"
60969,"Tourism Management, M.Sc.",http://www.mastersportal.eu/studies/60969/tourism-management.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.alba.edu.gr%2Fdegree-programs%2Fmasters%2Fmsc-in-tourism-management%2F,Greece,Athens,Alba Graduate Business School,"12,5",/ year,1 year,On campus,64,"Hospitality, Leisure & Sports"
