id,name,portalLink,programmeWebsiteLink,country,city,university,tuitionFees,tuitionFeesPeriod,degreeLenght,deliveryMode,disciplineId,disciplineName
41699,"English Language and Literature, Master",http://www.mastersportal.eu/studies/41699/english-language-and-literature.html,http://www.muni.cz/en/bachelors-and-masters-study-fields/18653-english-language-and-literature,Czech Republic,Brno,Masaryk University,"2,4",/ year,2 Years,On campus,9,Humanities
2514,"Linguistics, M.Phil.",http://www.mastersportal.eu/studies/2514/linguistics.html,http://www.uib.no/en/studyprogramme/MAHF-LING,Norway,Bergen,University of Bergen,0,/ year,2 Years,On campus,9,Humanities
139696,"MAMA - Master in Arts Management and Administration, Master",http://www.mastersportal.eu/studies/139696/mama-master-in-arts-management-and-administration.html,http://www.sdabocconi.it/en/specialized-master-full-time-executive/mama?sembox_source=Studyportal&sembox_p=MAMA&sembox_content=Listing&camp=C-00002598&utm_source=Studyportal&utm_campaign=Listing_MAMA,Italy,Milano,SDA Bocconi School of Management,24,/ year,1 year,Blended,9,Humanities
133692,"Linguistic Theory and Language Description, M.A.",http://www.mastersportal.eu/studies/133692/linguistic-theory-and-language-description.html,http://www.hse.ru/en/ma/tling,Russia,Moscow,National Research University - Higher School of Economi…,"4,55",/ year,2 Years,On campus,9,Humanities
40210,"Ancient History (with a Term in Rome), M.A.",http://www.mastersportal.eu/studies/40210/ancient-history.html,,Italy  United Kingdom,Roma,University of Kent - Rome campus,"8,417",/ year,1 year,On campus,9,Humanities
68836,"Applied and Interdisciplinary History: Usable Pasts, Master",http://www.mastersportal.eu/studies/68836/applied-and-interdisciplinary-history-usable-pasts.html,http://spb.hse.ru/en/ma/apphist/,Russia,Saint Petersburg,National Research University - Higher School of Economi…,"3,3",/ year,2 Years,On campus,9,Humanities
183546,"Psycholinguistics of Intercultural Communication, Master",http://www.mastersportal.eu/studies/183546/psycholinguistics-of-intercultural-communication.html,https://psycholinguisticsic.yolasite.com/,Russia,Moscow,Sechenov University,"1,5",/ year,2 Years,On campus,9,Humanities
151973,"Graduate Pathway in Materials Engineering, Pre-Master",http://www.mastersportal.eu/studies/151973/graduate-pathway-in-materials-engineering.html,http://www.intostudy.com/en-gb/universities/the-university-of-alabama-at-birmingham/programs/graduate-pathway-in-materials-engineering?utm_source=studyportals&utm_medium=referral&utm_campaign=studyportalsresultbased,United States,Birmingham,INTO The University of Alabama at Birmingham,"20,95",/ year,6 months,On campus,9,Humanities
70670,"Medieval and Renaissance Culture, M.A.",http://www.mastersportal.eu/studies/70670/medieval-and-renaissance-culture.html,http://www.southampton.ac.uk/humanities/postgraduate/taught_courses/taught_courses/medieval_and_renaissance/v300_ma_medieval_and_renaissance_culture.page?utm_source=StudyPortals&utm_medium=Listing&utm_campaign=MAMedievalRenaissanceCulture,United Kingdom,Southampton,University of Southampton,"10,114",/ year,1 year,On campus,9,Humanities
68866,"Politics. Economics. Philosophy, Master",http://www.mastersportal.eu/studies/68866/politics-economics-philosophy.html,http://www.hse.ru/en/ma/pep/,Russia,Moscow,National Research University - Higher School of Economi…,"4,605",/ year,2 Years,On campus,9,Humanities
66923,"Graduate Pathway in English with TESOL Emphasis, Pre-Master",http://www.mastersportal.eu/studies/66923/graduate-pathway-in-english-with-tesol-emphasis.html,http://www.intostudy.com/en-gb/universities/marshall-university/programs/graduate-pathway-in-english-with-tesol-emphasis?utm_source=studyportals&utm_medium=referral&utm_campaign=studyportalsresultbased,United States,Huntington,INTO Marshall University,"11,544",/ year,3 months,On campus,9,Humanities
118256,"Philosophy, M.Phil.",http://www.mastersportal.eu/studies/118256/philosophy.html,http://www.uib.no/en/studyprogramme/MAHF-FILO#uib-tabs-presentation,Norway,Bergen,University of Bergen,0,/ year,2 Years,On campus,9,Humanities
74087,"English and Communication, M.A.",http://www.mastersportal.eu/studies/74087/english-and-communication.html,https://www.potsdam.edu/academics/AAS/Engl/maengl,United States,Potsdam,State University of New York Potsdam,"18,992",/ year,2 Years,On campus,9,Humanities
34448,"Consciousness and Embodiment, M.A.",http://www.mastersportal.eu/studies/34448/consciousness-and-embodiment.html,,Ireland,Dublin,University College Dublin School of Philosophy,"6,75",/ year,1 year,On campus,9,Humanities
16673,"History of Politics and Society, M.A.",http://www.mastersportal.eu/studies/16673/history-of-politics-and-society.html,https://www.uu.nl/masters/en/history-politics-and-society?utm_source=mastersportal.eu&utm_campaign=uu.dcm.int.master.general&utm_medium=cpc&utm_term=history-politics-and-society-gsh,Netherlands,Utrecht,Utrecht University,"2,006",/ year,1 year,On campus,9,Humanities
155410,"Philosophy, M.A.",http://www.mastersportal.eu/studies/155410/philosophy.html,http://www.southampton.ac.uk/philosophy/postgraduate/taught_courses/v500_ma_philosophy.page?utm_source=FHUM-Postgraduate-Philosophy-StudyPortals&utm_medium=advertising&utm_content=&utm_campaign=PG2017,United Kingdom,Southampton,University of Southampton,"10,114",/ year,1 year,On campus,9,Humanities
75914,"Applied Linguistics and Communication, M.A.",http://www.mastersportal.eu/studies/75914/applied-linguistics-and-communication.html,https://ad.doubleclick.net/ddm/clk/402044275;202214347;o,United Kingdom,London,"Birkbeck, University of London - School of Business, Ec…","8,934",/ year,1 year,On campus,9,Humanities
134904,"English Language Teaching, M.A.",http://www.mastersportal.eu/studies/134904/english-language-teaching.html,http://www2.warwick.ac.uk/study/postgraduate/courses/depts/applied-linguistics/taught/elt,United Kingdom,Coventry,University of Warwick,"9,182",/ year,1 year,On campus,9,Humanities
150395,"Graduate Diploma in Finance with Pre-Sessional English, Pre-Master",http://www.mastersportal.eu/studies/150395/graduate-diploma-in-finance-with-pre-sessional-english.html,http://www.intostudy.com/en-gb/universities/queens-university-belfast/courses/graduate-diploma-in-finance-with-pre-sessional-english?utm_source=studyportals&utm_medium=referral&utm_campaign=studyportalsresultbased,United Kingdom,Belfast,INTO Queen's University Belfast,"21,685",/ year,1 year,On campus,9,Humanities
77072,"Victorian Studies, M.A.",http://www.mastersportal.eu/studies/77072/victorian-studies.html,https://ad.doubleclick.net/ddm/clk/402046856;202214326;s,United Kingdom,London,"Birkbeck, University of London - School of Business, Ec…","8,934",/ year,1 year,On campus,9,Humanities
58987,"Qualifying Programme in Social Sciences, Pre-Master",http://www.mastersportal.eu/studies/58987/qualifying-programme-in-social-sciences.html,http://info.oncampus.global/life-sciences-foundation-0,United Kingdom,Coventry,ONCAMPUS Coventry,"5,242",/ year,3 months,On campus,9,Humanities
1507,"Comparative History (2 Years), M.A.",http://www.mastersportal.eu/studies/1507/comparative-history.html,http://sits.ceu.edu/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_enq&code1=AUHIST&code2=&code4=IPR_UDF1%3DHISTSTUDYP,Hungary,Budapest,Central European University (CEU),12,/ year,2 Years,On campus,9,Humanities
315,"English, M.Phil.",http://www.mastersportal.eu/studies/315/english.html,http://www.uib.no/en/studyprogramme/MAHF-ENG,Norway,Bergen,University of Bergen,0,/ year,2 Years,On campus,9,Humanities
149866,"Graduate Diploma in Social Sciences and the Arts, Pre-Master",http://www.mastersportal.eu/studies/149866/graduate-diploma-in-social-sciences-and-the-arts.html,http://www.intostudy.com/en-gb/universities/city-university-london/courses/graduate-diploma-in-social-sciences-and-the-arts?utm_source=studyportals&utm_medium=referral&utm_campaign=studyportalsresultbased,United Kingdom,London,INTO City University London,"17,414",/ year,9 months,On campus,9,Humanities
76979,"Psychoanalytic Studies, M.A.",http://www.mastersportal.eu/studies/76979/psychoanalytic-studies.html,https://ad.doubleclick.net/ddm/clk/402044266;202214347;o,United Kingdom,London,"Birkbeck, University of London - School of Business, Ec…","8,934",/ year,1 year,On campus,9,Humanities
45473,"Education - Reading and Literacy with a Reading K-12 Endorsement, M.Sc.",http://www.mastersportal.eu/studies/45473/education-reading-and-literacy-with-a-reading-k-12-endorsement.html,http://international.waldenuniversity.com/walden-programs/education/masters/m-s-in-education/?comm_code=4157006&cpl=StudyPortals&utm_source=Mix&utm_medium=CPL&utm_campaign=studyportals_cpl_campaign,,,Walden University,,,"1 year, 8 months",Online,9,Humanities
520,"Comparative Literary Studies, M.A.",http://www.mastersportal.eu/studies/520/comparative-literary-studies.html,https://www.uu.nl/masters/en/comparative-literary-studies?utm_source=mastersportal.eu&utm_campaign=uu.dcm.int.master.general&utm_medium=cpc&utm_term=comparative-literary-studies-gsh,Netherlands,Utrecht,Utrecht University,"2,006",/ year,2 Years,On campus,9,Humanities
8793,"Contemporary Theatre, Dance and Dramaturgy, M.A.",http://www.mastersportal.eu/studies/8793/contemporary-theatre-dance-and-dramaturgy.html,https://www.uu.nl/masters/en/contemporary-theatre-dance-and-dramaturgy?utm_source=mastersportal.eu&utm_campaign=uu.dcm.int.master.general&utm_medium=cpc&utm_term=contemporary-theatre-dance-dramaturgy-gsh,Netherlands,Utrecht,Utrecht University,"2,006",/ year,1 year,On campus,9,Humanities
150314,"Graduate Diploma in Architecture, Pre-Master",http://www.mastersportal.eu/studies/150314/graduate-diploma-in-architecture.html,http://www.intostudy.com/en-gb/universities/newcastle-university/courses/graduate-diploma-in-architecture?utm_source=studyportals&utm_medium=referral&utm_campaign=studyportalsresultbased,United Kingdom,Newcastle upon Tyne,INTO Newcastle University,"20,786",/ year,9 months,On campus,9,Humanities
151975,"Graduate Pathway in Mechanical Engineering, Pre-Master",http://www.mastersportal.eu/studies/151975/graduate-pathway-in-mechanical-engineering.html,http://www.intostudy.com/en-gb/universities/the-university-of-alabama-at-birmingham/programs/graduate-pathway-in-mechanical-engineering?utm_source=studyportals&utm_medium=referral&utm_campaign=studyportalsresultbased,United States,Birmingham,INTO The University of Alabama at Birmingham,"20,95",/ year,6 months,On campus,9,Humanities
138525,"Teaching English to Speakers of Other Languages, M.A.",http://www.mastersportal.eu/studies/138525/teaching-english-to-speakers-of-other-languages.html,http://www.aus.edu/info/200136/graduate_programs/296/master_of_arts_degree_in_teaching_english_to_speakers_of_other_languages_ma_tesol,United Arab Emirates,Sharjah,American University of Sharjah (AUS),960,/ credit,"1 year, 6 months",On campus,9,Humanities
176302,"Liberal Arts, M.A.",http://www.mastersportal.eu/studies/176302/liberal-arts.html,https://ad.doubleclick.net/ddm/clk/400154369;200160997;b,United Kingdom,Dundee,University of Dundee,"2,045",/ year,4 Years,On campus,9,Humanities
35580,"Jewish History and Culture, M.A.",http://www.mastersportal.eu/studies/35580/jewish-history-and-culture.html,http://www.southampton.ac.uk/history/postgraduate/taught_courses/v300_ma_jewish_history_and_culture.page?utm_source=FHUM-MA-History-StudyPortals&utm_medium=advertising&utm_content=&utm_campaign=PG2017,United Kingdom,Southampton,University of Southampton,"10,114",/ year,1 year,On campus,9,Humanities
158475,"Global Englishes, M.A.",http://www.mastersportal.eu/studies/158475/global-englishes.html,http://www.southampton.ac.uk/ml/postgraduate/taught_courses/modern_languages_linguistic_studies/r900-ma-global-englishes.page?utm_source=FHUM-MA-Linguistics-and-Languages-StudyPortals&utm_medium=advertising&utm_content=&utm_campaign=PG2017,United Kingdom,Southampton,University of Southampton,"10,114",/ year,1 year,On campus,9,Humanities
149068,"Customized Short Programs for Groups, Preparation Course",http://www.mastersportal.eu/studies/149068/customized-short-programs-for-groups.html,http://tsengcollege.csun.edu/programs/IPP/ELCE?utm_source=studyportals&utm_campaign=ipp_fy1718,United States,Los Angeles,California State University Northridge,"1,04",/ year,3 Weeks,On campus,9,Humanities
14742,"Philosophy, M.A.",http://www.mastersportal.eu/studies/14742/philosophy.html,http://sits.ceu.edu/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_enq&code1=AUPHIL&code2=&code4=IPR_UDF1%3DPHILSTUDYP,Hungary,Budapest,Central European University (CEU),12,/ year,1 year,On campus,9,Humanities
25030,"Applied and Professional Ethics, M.A.",http://www.mastersportal.eu/studies/25030/applied-and-professional-ethics.html,https://courses.leeds.ac.uk/24702/MA_Applied_and_Professional_Ethics_(Online),,,University of Leeds,,,1 year,Online,9,Humanities
17493,"Analytic Philosophy, M.A.",http://www.mastersportal.eu/studies/17493/analytic-philosophy.html,http://filosofie.unibuc.ro/master-of-arts-in-analytic-philosophy/,Romania,Bucharest,University of Bucharest,679,/ year,2 Years,On campus,9,Humanities
36055,"History, M.A.",http://www.mastersportal.eu/studies/36055/history.html,https://apply.sehir.edu.tr/en_AF/courses/course/320-ma-history-thesis-english?search=73925,Turkey,Istanbul,Istanbul Sehir University,"3,42",/ year,2 Years,On campus,9,Humanities
153565,"English Language and Cultural Experience (ELCE), Preparation Course",http://www.mastersportal.eu/studies/153565/english-language-and-cultural-experience.html,http://tsengcollege.csun.edu/programs/IPP/ELCE?utm_source=studyportals&utm_campaign=ipp_fy1718,United States,Los Angeles,California State University Northridge,"1,04",/ year,3 Weeks,On campus,9,Humanities
503,"Ancient, Medieval and Renaissance Studies, M.A.",http://www.mastersportal.eu/studies/503/ancient-medieval-and-renaissance-studies.html,https://www.uu.nl/masters/en/ancient-medieval-and-renaissance-studies?utm_source=mastersportal.eu&utm_campaign=uu.dcm.int.master.general&utm_medium=cpc&utm_term=ancient-medieval-and-renaissance-studies-gsh,Netherlands,Utrecht,Utrecht University,"2,006",/ year,2 Years,On campus,9,Humanities
40895,"Education - Literacy and Learning in the Content Areas (Grades 6-12), M.Sc.",http://www.mastersportal.eu/studies/40895/education-literacy-and-learning-in-the-content-areas.html,http://international.waldenuniversity.com/walden-programs/education/masters/m-s-in-education/?comm_code=4157006&cpl=StudyPortals&utm_source=Mix&utm_medium=CPL&utm_campaign=studyportals_cpl_campaign,,,Walden University,,,2 Years,Online,9,Humanities
151618,"Foundation Year, Preparation Course",http://www.mastersportal.eu/studies/151618/foundation-year.html,http://www.ro-am.ro/index.php?title=Foundation+Year&id=47,Romania,Bucharest,Romanian-American University,"2,9",/ year,7 months,On campus,9,Humanities
70164,"Applied Linguistics for Language Teaching, M.A.",http://www.mastersportal.eu/studies/70164/applied-linguistics-for-language-teaching.html,http://www.southampton.ac.uk/ml/postgraduate/taught_courses/modern_languages/q100_ma_applied_linguistics_for_language_teaching.page?utm_source=FHUM-MA-Linguistics-and-Languages-StudyPortals&utm_medium=advertising&utm_content=&utm_campaign=PG2017,United Kingdom,Southampton,University of Southampton,"10,114",/ year,1 year,On campus,9,Humanities
155977,"Teaching English to Speakers of Other Languages, M.A.",http://www.mastersportal.eu/studies/155977/teaching-english-to-speakers-of-other-languages.html,http://learnmore.sit.edu/graduate/tesol4/,United States,Brattleboro,School for International Training,"28,604",/ year,1 year,On campus    Online,9,Humanities
16675,"Cultural History of Modern Europe, M.A.",http://www.mastersportal.eu/studies/16675/cultural-history-of-modern-europe.html,https://www.uu.nl/masters/en/cultural-history-modern-europe?utm_source=mastersportal.eu&utm_campaign=uu.dcm.int.master.general&utm_medium=cpc&utm_term=cultural-history-modern-europe-gsh,Netherlands,Utrecht,Utrecht University,"2,006",/ year,1 year,On campus,9,Humanities
