id,name,portalLink,programmeWebsiteLink,country,city,university,tuitionFees,tuitionFeesPeriod,degreeLenght,deliveryMode,disciplineId,disciplineName
31468,"Media Education, M.A.",http://www.mastersportal.eu/studies/31468/media-education.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.ulapland.fi%2Fmedu,Finland,Rovaniemi,University of Lapland,0,/ year,2 Years,On campus,58,Journalism & Media
32,"Media Management, M.Sc.",http://www.mastersportal.eu/studies/32/media-management.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.kth.se%2Fen%2Fstudies%2Fmaster%2Fkth%2Fmediamanagement,Sweden,Stockholm,KTH Royal Institute of Technology,0,/ year,2 Years,On campus,58,Journalism & Media
46357,"International Communication, M.Sc.",http://www.mastersportal.eu/studies/46357/international-communication.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fju.se%2Fen%2Fstudy-at-ju%2Four-programmes%2Fmaster%2Finternational-communication.html,Sweden,Jönköping,Jönköping University,0,/ year,1 year,On campus,58,Journalism & Media
104648,"Media Studies - Nordic Media, M.Phil.",http://www.mastersportal.eu/studies/104648/media-studies-nordic-media.html,"http://www.mastersportal.eu/search/#q=di-67,308|lv-preparation",Norway,Oslo,University of Oslo,0,/ year,2 Years,On campus,58,Journalism & Media
62252,"Media and Communication Studies: Culture, Collaborative Media, and Creative Industries (120 Credits), M.A.",http://www.mastersportal.eu/studies/62252/media-and-communication-studies-culture-collaborative-media-and-creative-industries.html,"http://www.mastersportal.eu/search/#q=di-67,308|lv-preparation|mh-blended,online",Sweden,Malmö,Malmö University,0,/ year,2 Years,On campus    Blended    Online,58,Journalism & Media
47873,"Media and Communication Studies, M.Sc.",http://www.mastersportal.eu/studies/47873/media-and-communication-studies.html,"http://www.mastersportal.eu/search/#q=di-71,308|lv-preparation",Sweden,Lund,Lund University,0,/ year,2 Years,On campus,58,Journalism & Media
154647,"ICT Innovation (EIT Digital Master School) - Digital Media Technology, M.Sc.",http://www.mastersportal.eu/studies/154647/ict-innovation-digital-media-technology.html,"http://www.mastersportal.eu/search/#q=di-281,307|lv-preparation",Finland,Helsinki,Aalto University,0,/ year,2 Years,On campus,58,Journalism & Media
2524,"Social Sciences - Digital Media and Society, Master",http://www.mastersportal.eu/studies/2524/social-sciences-digital-media-and-society.html,"http://www.mastersportal.eu/search/#q=di-80,308|lv-preparation",Sweden,Uppsala,Uppsala University,0,/ year,2 Years,On campus,58,Journalism & Media
44546,"Journalism, Media and Globalization: Erasmus Mundus Masters, M.A.",http://www.mastersportal.eu/studies/44546/journalism-media-and-globalization-erasmus-mundus-masters.html,http://www.mastersportal.eu/search/#q=di-306|lv-preparation,United Kingdom,Swansea,Swansea University,0,/ year,2 Years,On campus,58,Journalism & Media
32286,"Media, Communication and Cultural Analysis, M.A.",http://www.mastersportal.eu/studies/32286/media-communication-and-cultural-analysis.html,http://www.mastersportal.eu/search/#q=di-308|lv-preparation,Sweden,Stockholm,Södertörn University,0,/ year,2 Years,On campus,58,Journalism & Media
18607,"Media Management, M.A.",http://www.mastersportal.eu/studies/18607/media-management.html,"http://www.mastersportal.eu/search/#q=di-307,308|lv-preparation",Finland,Helsinki,Arcada University of Applied Sciences,0,/ year,"1 year, 6 months",On campus,58,Journalism & Media
60666,"Information Studies - Digital Living, M.A.",http://www.mastersportal.eu/studies/60666/information-studies-digital-living.html,"http://www.mastersportal.eu/search/#q=di-281,308|lv-preparation",Denmark,Århus,Aarhus University,0,/ year,2 Years,On campus,58,Journalism & Media
51960,"Media Arts and Practices, M.A.",http://www.mastersportal.eu/studies/51960/media-arts-and-practices.html,http://www.mastersportal.eu/search/#q=di-308|lv-preparation,Slovenia,Nova Gorica,University of Nova Gorica,0,/ year,2 Years,On campus,58,Journalism & Media
32407,"Media and Communication Studies, Master",http://www.mastersportal.eu/studies/32407/media-and-communication-studies.html,http://www.mastersportal.eu/search/#q=di-308|lv-preparation,Sweden,Stockholm,Stockholm University,0,/ year,2 Years,On campus,58,Journalism & Media
37191,"Journalism, Media and Globalisation, M.A.",http://www.mastersportal.eu/studies/37191/journalism-media-and-globalisation.html,http://www.mastersportal.eu/search/#q=di-306|lv-preparation,Denmark,Århus,Aarhus University,0,/ year,2 Years,On campus,58,Journalism & Media
107202,"Global Mass Communication, M.A.",http://www.mastersportal.eu/studies/107202/global-mass-communication.html,"http://www.mastersportal.eu/search/#q=di-71,308|lv-preparation",Germany,Leipzig,University of Leipzig,0,/ year,2 Years,On campus,58,Journalism & Media
32231,"Journalism Connected (MS), M.A.",http://www.mastersportal.eu/studies/32231/journalism-connected.html,http://www.mastersportal.eu/search/#q=di-306|lv-preparation,Sweden,Örebro,Örebro University,0,/ year,1 year,On campus,58,Journalism & Media
59637,"Media Education, Master",http://www.mastersportal.eu/studies/59637/media-education.html,"http://www.mastersportal.eu/search/#q=di-8,308|lv-preparation",Finland,Tampere,University of Tampere,0,/ year,2 Years,On campus,58,Journalism & Media
107728,"Print and Media Technology, M.Sc.",http://www.mastersportal.eu/studies/107728/print-and-media-technology.html,"http://www.mastersportal.eu/search/#q=di-248,308|lv-preparation",Germany,Chemnitz,Chemnitz University of Technology,0,/ year,2 Years,On campus,58,Journalism & Media
67581,"International Master's Programme in Journalism, M.A.",http://www.mastersportal.eu/studies/67581/international-masters-programme-in-journalism.html,http://www.mastersportal.eu/search/#q=di-306|lv-preparation,Sweden,Stockholm,Södertörn University,0,/ year,1 year,On campus,58,Journalism & Media
61569,"Media and Communication Studies: Culture, Collaborative Media, and Creative Industries (60 Credits), M.A.",http://www.mastersportal.eu/studies/61569/media-and-communication-studies-culture-collaborative-media-and-creative-industries.html,"http://www.mastersportal.eu/search/#q=di-67,308|lv-preparation|mh-blended,online",,,Malmö University,0,/ full,1 year,Online,58,Journalism & Media
21734,"Nordic Media, Master",http://www.mastersportal.eu/studies/21734/nordic-media.html,http://www.mastersportal.eu/search/#q=di-308|lv-preparation,Norway,Oslo,University of Oslo,0,/ year,2 Years,On campus,58,Journalism & Media
23325,"Global Media Studies, M.Sc.",http://www.mastersportal.eu/studies/23325/global-media-studies.html,http://www.mastersportal.eu/search/#q=di-308|lv-preparation,Sweden,Karlstad,University of Karlstad,0,/ year,2 Years,On campus,58,Journalism & Media
