id,name,portalLink,programmeWebsiteLink,country,city,university,tuitionFees,tuitionFeesPeriod,degreeLenght,deliveryMode,disciplineId,disciplineName
2101,"Intellectual Property Law, M.Sc.",http://www.mastersportal.eu/studies/2101/intellectual-property-law.html,https://www.hanken.fi/en/node/490764/,Finland,Helsinki,Hanken School of Economics,0,/ year,2 Years,On campus,6,Law
156180,"Law and Society, Master",http://www.mastersportal.eu/studies/156180/law-and-society.html,,,,Umea University,0,/ year,2 Years,Online,6,Law
32398,"Curating Art, Including Management and Law, Master",http://www.mastersportal.eu/studies/32398/curating-art-including-management-and-law.html,,Sweden,Stockholm,Stockholm University,0,/ year,2 Years,On campus,6,Law
81,"International Commercial Arbitration, L.L.M.",http://www.mastersportal.eu/studies/81/international-commercial-arbitration.html,,Sweden,Stockholm,Stockholm University,0,/ year,1 year,On campus,6,Law
104941,"International Trade, Investment and Commercial Law, L.L.M.",http://www.mastersportal.eu/studies/104941/international-trade-investment-and-commercial-law.html,,Norway,Oslo,University of Oslo,0,/ year,"1 year, 3 months",On campus,6,Law
13841,"Polar Law and West Nordic Studies, M.A.",http://www.mastersportal.eu/studies/13841/polar-law-and-west-nordic-studies.html,,Iceland,Akureyri,University of Akureyri,0,/ year,2 Years,On campus,6,Law
262,"Maritime Law, L.L.M.",http://www.mastersportal.eu/studies/262/maritime-law.html,,Norway,Oslo,University of Oslo,0,/ year,"1 year, 3 months",On campus,6,Law
1449,"Natural Resources Law and International Environmental Law, L.L.M.",http://www.mastersportal.eu/studies/1449/natural-resources-law-and-international-environmental-law.html,,Iceland,Reykjavík,University of Iceland,0,/ year,1 year,On campus,6,Law
38010,"International Security and Law, Master of Social Science, Master",http://www.mastersportal.eu/studies/38010/international-security-and-law-master-of-social-science.html,,Denmark,Esbjerg,University of Southern Denmark,0,/ year,2 Years,On campus,6,Law
28102,"International Economic Law, L.L.M.",http://www.mastersportal.eu/studies/28102/international-economic-law.html,,Germany,Augsburg,University of Augsburg,0,/ year,1 year,On campus,6,Law
80,"European Intellectual Property Law, L.L.M.",http://www.mastersportal.eu/studies/80/european-intellectual-property-law.html,,Sweden,Stockholm,Stockholm University,0,/ year,1 year,On campus,6,Law
265,"Public International Law, L.L.M.",http://www.mastersportal.eu/studies/265/public-international-law.html,,Norway,Oslo,University of Oslo,0,/ year,"1 year, 3 months",On campus,6,Law
9273,"LL.M. in IT-Law, L.L.M.",http://www.mastersportal.eu/studies/9273/llm-in-it-law.html,,Germany,Hannover,Leibniz Universität Hannover,0,/ year,1 year,On campus,6,Law
260,"Theory and Practice of Human Rights, M.Phil.",http://www.mastersportal.eu/studies/260/theory-and-practice-of-human-rights.html,,Norway,Oslo,University of Oslo,0,/ year,2 Years,On campus,6,Law
136193,"European Economic Law, L.L.M.",http://www.mastersportal.eu/studies/136193/european-economic-law.html,,Sweden,Stockholm,Stockholm University,0,/ year,1 year,On campus,6,Law
10528,"Law, M.A.",http://www.mastersportal.eu/studies/10528/law.html,,Estonia,Tallinn,Tallinn University of Technology,0,/ year,2 Years,On campus,6,Law
104892,"Human Rights, L.L.M.",http://www.mastersportal.eu/studies/104892/human-rights.html,,Norway,Oslo,University of Oslo,0,/ year,2 Years,On campus,6,Law
2472,"Law of the Sea, L.L.M.",http://www.mastersportal.eu/studies/2472/law-of-the-sea.html,,Norway,Tromsø,UIT the Arctic University of Norway,0,/ year,1 year,On campus,6,Law
47534,"International Economic and Resources Law, Master",http://www.mastersportal.eu/studies/47534/international-economic-and-resources-law.html,,Finland,Joensuu,University of Eastern Finland,0,/ year,2 Years,On campus,6,Law
40140,"Cultural Sociology in Law, Power and Social Justice, M.Sc.",http://www.mastersportal.eu/studies/40140/cultural-sociology-in-law-power-and-social-justice.html,,Denmark,Esbjerg,University of Southern Denmark,0,/ year,2 Years,On campus,6,Law
104931,"International Criminal and Humanitarian Law, L.L.M.",http://www.mastersportal.eu/studies/104931/international-criminal-and-humanitarian-law.html,,Norway,Oslo,University of Oslo,0,/ year,"1 year, 3 months",,6,Law
3006,"International Human Rights Law, M.Sc.",http://www.mastersportal.eu/studies/3006/international-human-rights-law.html,,Finland,Turku,Åbo Akademi University,0,/ year,2 Years,On campus,6,Law
38709,"International Security and Law, Master",http://www.mastersportal.eu/studies/38709/international-security-and-law.html,,Denmark,Sønderborg,University of Southern Denmark,0,/ year,2 Years,On campus,6,Law
61770,"Intellectual Property Law, L.L.M.",http://www.mastersportal.eu/studies/61770/intellectual-property-law.html,http://www.uu.se/en/admissions/master/selma/program/?pKod=JIM2N&lasar=17%2F18,Sweden,Uppsala,Uppsala University,0,/ year,1 year,On campus,6,Law
156987,"Human Rights and Multiculturalism, M.Sc.",http://www.mastersportal.eu/studies/156987/human-rights-and-multiculturalism.html,,Norway,Drammen,University College of Southeast Norway,0,/ year,2 Years,On campus,6,Law
264,"Information and Communication Technology Law, L.L.M.",http://www.mastersportal.eu/studies/264/information-and-communication-technology-law.html,,Norway,Oslo,University of Oslo,0,/ year,"1 year, 3 months",On campus,6,Law
32398,"Curating Art, Including Management and Law, Master",http://www.mastersportal.eu/studies/32398/curating-art-including-management-and-law.html,,Sweden,Stockholm,Stockholm University,0,/ year,2 Years,On campus,6,Law
156180,"Law and Society, Master",http://www.mastersportal.eu/studies/156180/law-and-society.html,,,,Umea University,0,/ year,2 Years,Online,6,Law
41754,"Law, L.L.M.",http://www.mastersportal.eu/studies/41754/law.html,,Denmark,Copenhagen,University of Copenhagen,0,/ year,2 Years,On campus,6,Law
13972,"European and  International Tax Law, M.Sc.",http://www.mastersportal.eu/studies/13972/european-and-international-tax-law.html,,Sweden,Lund,Lund University,0,/ year,1 year,On campus,6,Law
104935,"International Environment and Energy Law, L.L.M.",http://www.mastersportal.eu/studies/104935/international-environment-and-energy-law.html,,Norway,Oslo,University of Oslo,0,/ year,"1 year, 3 months",,6,Law
47740,"Ethics - Economics, Law and Politics, M.A.",http://www.mastersportal.eu/studies/47740/ethics-economics-law-and-politics.html,,Germany,Bochum,Ruhr University of Bochum,0,/ year,2 Years,On campus,6,Law
104984,"Theory and Practice of Human Rights, M.Phil.",http://www.mastersportal.eu/studies/104984/theory-and-practice-of-human-rights.html,,Norway,Oslo,University of Oslo,0,/ year,2 Years,On campus,6,Law
179,"European Business Law, L.L.M.",http://www.mastersportal.eu/studies/179/european-business-law.html,,Sweden,Lund,Lund University,0,/ year,2 Years,On campus,6,Law
178,"International Human Rights Law, L.L.M.",http://www.mastersportal.eu/studies/178/international-human-rights-law.html,,Sweden,Lund,Lund University,0,/ year,2 Years,On campus,6,Law
14965,"Social Work and Human Rights, M.Sc.",http://www.mastersportal.eu/studies/14965/social-work-and-human-rights.html,,Sweden,Göteborg,University of Gothenburg,0,/ year,2 Years,On campus,6,Law
156181,"Law, Gender and Society, M.Sc.",http://www.mastersportal.eu/studies/156181/law-gender-and-society.html,,,,Umea University,0,/ year,2 Years,Online,6,Law
