id,name,portalLink,programmeWebsiteLink,country,city,university,tuitionFees,tuitionFeesPeriod,degreeLenght,deliveryMode,disciplineId,disciplineName
152382,"Health Education and Promotion - Self-Designed, M.Sc.",http://www.mastersportal.eu/studies/152382/health-education-and-promotion-self-designed.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Finternational.waldenuniversity.com%2Fwalden-programs%2Fpublic-health%2Fmasters%2Fm-s-in-health-education-and-promotion%2F%3Fcomm_code%3D4157006%26cpl%3DStudyPortals%26utm_source%3DMix%26utm_medium%3DCPL%26utm_campaign%3Dstudyportals_cpl_campaign,,,Walden University,,,,Online,10,Medicine & Health
173279,"Behavioral Health, M.Sc.",http://www.mastersportal.eu/studies/173279/behavioral-health.html,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.usfca.edu%2Fnursing%2Fprograms%2Fmasters%2Fbehavioral-health,United States,San Francisco,University of San Francisco School of Nursing and Healt…,"1,145",/ credit,1 year,On campus,10,Medicine & Health
152381,"Health Education and Promotion - Health Policy and Advocacy, M.Sc.",http://www.mastersportal.eu/studies/152381/health-education-and-promotion-health-policy-and-advocacy.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Finternational.waldenuniversity.com%2Fwalden-programs%2Fpublic-health%2Fmasters%2Fm-s-in-health-education-and-promotion%2F%3Fcomm_code%3D4157006%26cpl%3DStudyPortals%26utm_source%3DMix%26utm_medium%3DCPL%26utm_campaign%3Dstudyportals_cpl_campaign,,,Walden University,,,,Online,10,Medicine & Health
30628,"Healthcare Administration, Master",http://www.mastersportal.eu/studies/30628/healthcare-administration.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Finternational.waldenuniversity.com%2Fwalden-programs%2Fhealth-sciences%2Fmasters%2Fmaster-of-healthcare-administration%2F%3Fcomm_code%3D4157006%26cpl%3DStudyPortals%26utm_source%3DMix%26utm_medium%3DCPL%26utm_campaign%3Dstudyportals_cpl_campaign,,,Walden University,,,2 Years,Online,10,Medicine & Health
30296,"Clinical Research Administration, M.Sc.",http://www.mastersportal.eu/studies/30296/clinical-research-administration.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Finternational.waldenuniversity.com%2Fwalden-programs%2Fhealth-sciences%2Fmasters%2Fm-s-in-clinical-research-administration%2F%3Fcomm_code%3D4157006%26cpl%3DStudyPortals%26utm_source%3DMix%26utm_medium%3DCPL%26utm_campaign%3Dstudyportals_cpl_campaign,,,Walden University,,,,Online,10,Medicine & Health
118316,"Oral Sciences, M.Phil.",http://www.mastersportal.eu/studies/118316/oral-sciences.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.uib.no%2Fen%2Fstudyprogramme%2FMAOD-ORAL%23uib-tabs-presentation,Norway,Bergen,University of Bergen,0,/ year,2 Years,On campus,10,Medicine & Health
30297,"Public Health (MPH), Master",http://www.mastersportal.eu/studies/30297/public-health.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Finternational.waldenuniversity.com%2Fwalden-programs%2Fpublic-health%2Fmasters%2Fmaster-of-public-health%2F%3Fcomm_code%3D4157006%26cpl%3DStudyPortals%26utm_source%3DMix%26utm_medium%3DCPL%26utm_campaign%3Dstudyportals_cpl_campaign,,,Walden University,,,2 Years,Online,10,Medicine & Health
30330,"Nursing -  Education, M.Sc.",http://www.mastersportal.eu/studies/30330/nursing-education.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Finternational.waldenuniversity.com%2Fwalden-programs%2Fnursing%2F%3Fcomm_code%3D4157006%26cpl%3DStudyPortals%26utm_source%3DMix%26utm_medium%3DCPL%26utm_campaign%3Dstudyportals_cpl_campaign,,,Walden University,,,,Online,10,Medicine & Health
173313,"Public Health, M.Sc.",http://www.mastersportal.eu/studies/173313/public-health.html,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.usfca.edu%2Fnursing%2Fprograms%2Fmasters%2Fpublic-health,United States,San Francisco,University of San Francisco School of Nursing and Healt…,"1,145",/ credit,2 Years,Blended,10,Medicine & Health
173294,"Health Informatics, M.Sc.",http://www.mastersportal.eu/studies/173294/health-informatics.html,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.usfca.edu%2Fnursing%2Fprograms%2Fmasters%2Fhealth-informatics,United States,San Francisco,University of San Francisco School of Nursing and Healt…,"1,145",/ credit,2 Years,On campus,10,Medicine & Health
396,"Global Health, Master",http://www.mastersportal.eu/studies/396/global-health.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.uib.no%2Fen%2Fstudyprogramme%2FMAMD-GLOB,Norway,Bergen,University of Bergen,0,/ year,2 Years,On campus,10,Medicine & Health
