id,name,portalLink,programmeWebsiteLink,country,city,university,tuitionFees,tuitionFeesPeriod,degreeLenght,deliveryMode,disciplineId,disciplineName
171802,"Mathematics-Algebraic Geometry, Master",http://www.mastersportal.eu/studies/171802/mathematics-algebraic-geometry.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.uib.no%2Fen%2Fstudyprogramme%2FMAMN-MAT%2FALGEOM,Norway,Bergen,University of Bergen,0,/ year,2 Years,On campus,11,Natural Sciences & Mathematics
154159,"Developmental biology and physiology, M.Sc.",http://www.mastersportal.eu/studies/154159/developmental-biology-and-physiology.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.uib.no%2Fen%2Fstudyprogramme%2FMAMN-BIO%2FUT%23uib-tabs-presentation,Norway,Bergen,University of Bergen,0,/ year,2 Years,On campus,11,Natural Sciences & Mathematics
17206,"Chemical and Biological Engineering Phd, M.Sc.",http://www.mastersportal.eu/studies/17206/chemical-and-biological-engineering-phd.html,"http://www.mastersportal.eu/search/#q=di-32,81|lv-preparation",Turkey,Istanbul,Koc University,"13,7",/ year,2 Years,On campus,11,Natural Sciences & Mathematics
171894,"Physics-Microelectronics, Master",http://www.mastersportal.eu/studies/171894/physics-microelectronics.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.uib.no%2Fen%2Fstudyprogramme%2FMAMN-PHYS%2FMAMN-FYMIK,Norway,Bergen,University of Bergen,0,/ year,2 Years,On campus,11,Natural Sciences & Mathematics
33081,"Mathematics, M.Sc.",http://www.mastersportal.eu/studies/33081/mathematics.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.hse.ru%2Fen%2Fma%2Fmath%2F,Russia,Moscow,National Research University - Higher School of Economi…,"4,56",/ year,2 Years,On campus,11,Natural Sciences & Mathematics
173125,"Chemistry, M.Sc.",http://www.mastersportal.eu/studies/173125/chemistry.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Finternational.amu.edu.pl%2Fstudy-offer-degree-programs%2Fforeign-students-at-polish-universities%2Fm.a.-degree-programs%2Fm.a3.-in-english-and-celtic-studies,Poland,Poznan,Adam Mickiewicz University Poznan,0,/ year,2 Years,On campus,11,Natural Sciences & Mathematics
2517,"Mathematics, Master",http://www.mastersportal.eu/studies/2517/mathematics.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.uib.no%2Fen%2Fstudyprogramme%2FMAMN-MAT,Norway,Bergen,University of Bergen,0,/ year,2 Years,On campus,11,Natural Sciences & Mathematics
171821,"Mathematics- Mathematical Analysis, Master",http://www.mastersportal.eu/studies/171821/mathematics-mathematical-analysis.html,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DoiKj0Z_Xnjc,Norway,Bergen,University of Bergen,0,/ year,2 Years,On campus,11,Natural Sciences & Mathematics
392,"Molecular Biology, Master",http://www.mastersportal.eu/studies/392/molecular-biology.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.uib.no%2Fen%2Fstudyprogramme%2FMAMN-MOL,Norway,Bergen,University of Bergen,0,/ year,2 Years,On campus,11,Natural Sciences & Mathematics
154158,"Biodiversity, Evolution and Ecology, M.Sc.",http://www.mastersportal.eu/studies/154158/biodiversity-evolution-and-ecology.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.uib.no%2Fen%2Fstudyprogramme%2FMAMN-BIO%2FDI%23uib-tabs-presentation,Norway,Bergen,University of Bergen,0,/ year,2 Years,On campus,11,Natural Sciences & Mathematics
171858,"Mathematics-Topology, Master",http://www.mastersportal.eu/studies/171858/mathematics-topology.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.uib.no%2Fen%2Fstudyprogramme%2FMAMN-MAT%2FTO,Norway,Bergen,University of Bergen,0,/ year,2 Years,On campus,11,Natural Sciences & Mathematics
159103,"Business Statistics, Master",http://www.mastersportal.eu/studies/159103/business-statistics.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.hult.edu%2Fen%2Fmasters-degree%2Fmaster-of-business-statistics%2F,United States,San Francisco,Hult International Business School,"38,481",/ year,1 year,On campus,11,Natural Sciences & Mathematics
43257,"Biomedical Sciences and Engineering Phd, M.Sc.",http://www.mastersportal.eu/studies/43257/biomedical-sciences-and-engineering-phd.html,"http://www.mastersportal.eu/search/#q=di-30,222|lv-preparation",Turkey,Istanbul,Koc University,"13,7",/ year,1 year,On campus,11,Natural Sciences & Mathematics
160752,"Physics and Nanotechnology, M.Sc.",http://www.mastersportal.eu/studies/160752/physics-and-nanotechnology.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.dtu.dk%2FPhysNan,Denmark,Copenhagen,Technical University of Denmark (DTU),0,/ year,2 Years,On campus,11,Natural Sciences & Mathematics
160714,"Advanced Studies (MAS)  in Science, Technology and Policy, Master",http://www.mastersportal.eu/studies/160714/advanced-studies-in-science-technology-and-policy.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.istp.ethz.ch%2Feducation%2Fmas.html,Switzerland,Zürich,ETH Zurich - Swiss Federal Institute of Technology,"13,815",/ year,1 year,On campus,11,Natural Sciences & Mathematics
154162,"Geochemistry and Geobiology, M.Sc.",http://www.mastersportal.eu/studies/154162/geochemistry-and-geobiology.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.uib.no%2Fen%2Fstudyprogramme%2FMAMN-GEOV%2FMAMN-GVBIOKJ,Norway,Bergen,University of Bergen,0,/ year,2 Years,On campus,11,Natural Sciences & Mathematics
33580,"Master in Condensed Matter Physics, Master",http://www.mastersportal.eu/studies/33580/master-in-condensed-matter-physics.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwwwen.uni.lu%2Fformations%2Ffstc%2Fmaster_in_condensed_matter_physics_academique,Luxembourg,Luxembourg,University of Luxembourg,400,/ year,2 Years,On campus,11,Natural Sciences & Mathematics
