id,name,portalLink,programmeWebsiteLink,country,city,university,tuitionFees,tuitionFeesPeriod,degreeLenght,deliveryMode,disciplineId,disciplineName
27240,"Development Economics and International Co-operation (MESCI), M.A.",http://www.mastersportal.eu/studies/27240/development-economics-and-international-co-operation.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Feconomia.uniroma2.it%2Fmaster%2Fmesci,Italy,Roma,Tor Vergata University of Rome,"5,9",/ year,1 year,On campus,13,Social Sciences
118371,"Global Development - Theory and Practice, Master",http://www.mastersportal.eu/studies/118371/global-development-theory-and-practice.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.uib.no%2Fen%2Fstudyprogramme%2FMAPS-GLODE%23,Norway,Bergen,University of Bergen,0,/ year,2 Years,On campus,13,Social Sciences
152360,"Communication, M.Sc.",http://www.mastersportal.eu/studies/152360/communication.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Finternational.waldenuniversity.com%2Fwalden-programs%2Fbusiness-management%2Fmasters%2Fm-s-in-communication%2F%3Fcomm_code%3D4157006%26cpl%3DStudyPortals%26utm_source%3DMix%26utm_medium%3DCPL%26utm_campaign%3Dstudyportals_cpl_campaign,,,Walden University,,,,Online,13,Social Sciences
1580,"Master in Geography and Spatial Planning, Master",http://www.mastersportal.eu/studies/1580/master-in-geography-and-spatial-planning.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwwwen.uni.lu%2Fstudies%2Fflshase%2Fmaster_in_geography_and_spatial_planning_academique,Luxembourg,Luxembourg,University of Luxembourg,400,/ year,2 Years,On campus,13,Social Sciences
41334,"Clinical Psychology, M.Sc.",http://www.mastersportal.eu/studies/41334/clinical-psychology.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Finternational.waldenuniversity.com%2Fwalden-programs%2Fpsychology%2Fmasters%2Fm-s-in-clinical-psychology%2F%3Fcomm_code%3D4157006%26cpl%3DStudyPortals%26utm_source%3DMix%26utm_medium%3DCPL%26utm_campaign%3Dstudyportals_cpl_campaign,,,Walden University,,,,Online,13,Social Sciences
149848,"European and Chinese Business Management, Master",http://www.mastersportal.eu/studies/149848/european-and-chinese-business-management.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.ecbm.uzh.ch%2Fen.html,Switzerland,Zürich,University of Zurich,"27,5",/ year,1 year,On campus,13,Social Sciences
116983,"Law and Diplomacy (MALD), M.A.",http://www.mastersportal.eu/studies/116983/law-and-diplomacy.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Ffletcher.tufts.edu%2FAdmissions%2FStudy-Portals,United States,Medford,"Tufts University, The Fletcher School of Law and Diplom…","36,115",/ year,2 Years,On campus,13,Social Sciences
28242,"Political Analysis and Public Policy, Master",http://www.mastersportal.eu/studies/28242/political-analysis-and-public-policy.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.hse.ru%2Fen%2Fma%2Fpolitanaliz,Russia  Russia,Moscow,National Research University - Higher School of Economi…,"4,56",/ year,2 Years,On campus,13,Social Sciences
36801,"European and International Business Management, Master",http://www.mastersportal.eu/studies/36801/european-and-international-business-management.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fmaster.audencia.com%2Fprogrammes-english%2Fmaster-european-international-business-managementl-eibm%2F,France,Nantes,Audencia Business School,"14,85",/ year,1 year,On campus,13,Social Sciences
160714,"Advanced Studies (MAS)  in Science, Technology and Policy, Master",http://www.mastersportal.eu/studies/160714/advanced-studies-in-science-technology-and-policy.html,https://sl.prtl.co/track/click/?target=http%3A%2F%2Fwww.istp.ethz.ch%2Feducation%2Fmas.html,Switzerland,Zürich,ETH Zurich - Swiss Federal Institute of Technology,"13,815",/ year,1 year,On campus,13,Social Sciences
